設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 放射性壊変で正しいのはどれか。,α壊変では原子核内に軌道電子が取り込まれる。,軌道電子捕獲では原子核からHeの原子核が放出される。,核異性体転移では励起状態の原子核からγ線が放出される。,β＋壊変では原子核内の中性子1個が陽子1個に変換される。,β−壊変では原子核内の陽子1個がニュートリノ1個に変換される。99,3,,診療画像検査学,第70回(2018),普通
[A2] Mo-99mTcジェネレータで正しいのはどれか。,永続平衡が成立する。,ミルキングによって99Moが溶出する。,親核種はアルミナカラムに保持される。,ジェネレータ内で親核種の放射能は極大値を示す。,放射平衡時に99Moと99mTcの放射能は等しくなる。,3,,診療画像検査学,第70回(2018),普通
[A3] 蛋白質の放射性ヨウ素の間接標識法はどれか。,Wilzbach〈ウイルツバッハ〉法,ヨードゲン法,クロラミン-T法,Bolton-Hunter〈ボルトン・ハンター〉法,ラクトパーオキシダーゼ法,4,,診療画像検査学,第70回(2018),普通
[A4] 放射性トレーサ法について誤っているのはどれか。,測定感度が高い。,生体に薬理効果が現れる。,分離しなくても定量が可能である。,生きたままの動物で利用可能である。,オートラジオグラフィで視覚的に観察できる。,2,,診療画像検査学,第70回(2018),普通
[A5] 回転陽極X線管で焦点軌道半径を20％大きくした場合の、0.1 s以下の短時間許容負荷の増加割合に最も近いのはどれか。,5％,7％,10％,13％,15％,3,,診療画像検査学,第70回(2018),普通
[A6] 乳房撮影用X線管について正しいのはどれか。2つ選べ。,大焦点の焦点サイズは0.6 mm程度である。,照射口にはアルミニウムが用いられている。,タングステンターゲットはFPD装置でも使用される。,モリブデンターゲットの特性X線は25.0 keVである。,フィラメント-ターゲット間距離は一般撮影用X線管より短い。,"3,5",,診療画像検査学,第70回(2018),普通
[A7] インバータ式X線高電圧装置のフィードバック制御について正しいのはどれか。,制御間隔は1ms以上である。,管電流に対する制御は行われていない。,撮影時間を制御して適正線量を調整する。,非共振形〈方形波〉インバータ式装置では周波数を調整する。,パルス幅変調制御共振形インバータ式装置では位相シフト角を調整する。,5,,診療画像検査学,第70回(2018),普通
[A8] 直接変換方式FPDについて正しいのはどれか。2つ選べ。,光電子増倍管を使用する。,DQEはCRシステムより低い。,X線像をリアルタイムに観察できる。,シンチレータとしてCsI:Tlを用いる。,TFTスイッチングで画像信号を読み出す。,"3,5",,診療画像検査学,第70回(2018),普通
[A9] 散乱線除去グリッドの物理的性能の評価項目に含まれないのはどれか。,選択度,露出倍数,グリッド比,イメージ改善係数,コントラスト改善比,3,,診療画像検査学,第70回(2018),普通
[A10] 可搬形X線撮影装置で誤っているのはどれか。,移動形と携帯形がある。,インバータ式が主流である。,FPDを搭載した装置がある。,電池エネルギー蓄積形が多い。,70 kW程度の出力の装置が多い。,5,,診療画像検査学,第70回(2018),普通
[A11] CT値が50 HUである物質のX線減弱係数μaと水のX線減弱係数μwとの比μa/μwはどれか。,0.50,1.05,1.50,5.05,50.0,2,,核医学検査技術学,第70回(2018),普通
[A12] MRI装置について誤っているのはどれか。,RFコイルは受信コイルとして機能する。,高周波回路系送信部はRFパルスを生成する。,傾斜磁場コイルでスピンの位置情報を付加できる。,高周波回路系受信部はMR信号をデジタル化する。,QD〈quadrature detection〉コイルは傾斜磁場コイルの一つである。,5,,核医学検査技術学,第70回(2018),普通
[A13] MRI撮影時に生じる大きな音の発生源はどれか。,静磁場磁石,受信用コイル,送信用コイル,傾斜磁場コイル,クライオスタット,4,,核医学検査技術学,第70回(2018),普通
[A14] 直接撮影用X線装置の不変性試験1JIS Z 4752-2-113の試験項目と試験頻度の組合せで正しいのはどれか。,幾何学的特性 — 毎日,受像面へのX線入力 — 1か月,高コントラスト解像度 — 3か月,X線源装置からのX線出力 — か月,X線像全域の光学的濃度変化 — 1年,3,,核医学検査技術学,第70回(2018),普通
"[A15] パラレルイメージングを併用した高速スピンエコー法で撮影した場合の撮影時間［s］はどれか。ただし、TR 4,000 ms、TE 100 ms、FOV 32 cm、周波数エンコード数512、位相エンコード数256、エコートレイン数32、加算回数2、パラレルイメージングファクタ4とする。",8,16,32,262,512,2,,核医学検査技術学,第70回(2018),普通
[A16] 拡散強調像について誤っているのはどれか。,見かけの拡散係数が得られる。,b値はMPGパルスの間隔を示す。,急性期脳梗塞の診断に用いられる。,撮影には一般的にEPI法が用いられる。,組織の水分子のブラウン運動の大きさを画像化する。,2,,核医学検査技術学,第70回(2018),普通
[A17] TOF法MRAで血管内の信号低下の原因として考えられるのはどれか。2つ選べ。,渦流,栓流,層流,乱流,定常流,"1,4",,核医学検査技術学,第70回(2018),普通
[A18] MRIのアーチファクトで正しいのはどれか。,マジックアングルアーチファクトはT2強調像で強く現れる。,化学シフトアーチファクトは静磁場強度が高いほど大きくなる。,折り返しアーチファクトはスライスを厚くすることで回避できる。,モーションアーチファクトはインターリーブ法によって抑制できる。,エヌハーフアーチファクトは信号のデータ収集を打ち切ることで生じる。,2,,核医学検査技術学,第70回(2018),普通
[A19] 脳白質神経路の走行を推定するのに用いられるのはどれか。,ASL〈arterial spin labeling〉,BOLD〈blood oxygenation level dependent〉,DTI〈diffusion tensor imaging〉,MRA〈magnetic resonance angiography〉,VBM〈voxel-based morphometry〉,3,,核医学検査技術学,第70回(2018),普通
[A20] 乳腺専用コイルを使用して撮影した同一断面のMR像を別に示す。正しいのはどれか。【別冊No.1 図】,AはT2強調像である。,仰臥位での撮影である。,位相方向は左右方向である。,Bは脂肪抑制T1強調像である。,Cは脂肪抑制T2強調像である。,3,,核医学検査技術学,第70回(2018),普通
[A21] 超音波像におけるアーチファクトと発生する部位の組合せで正しいのはどれか。,音響陰影 — 囊胞の後方,後方エコー増強 — 胆石の後方,多重反射 — 横隔膜の後方,ミラー効果 — 血管壁の後方,レンズ効果 — 腹直筋の後方,5,,放射線治療技術学,第70回(2018),普通
[A22] 無散瞳眼底写真撮影について正しいのはどれか。,両眼を続けて撮影する。,完全な暗室が必要である。,瞳孔径が2mm以上あれば撮影可能である。,撮影距離は眼底カメラを被験眼から遠ざけながら決定する。,アライメント調整とは眼球とカメラの光学系を一線化させることである。,"1,5",,放射線治療技術学,第70回(2018),普通
