設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 元素記号と元素名の組合せで正しいのはどれか。,Cuクロム,Geガリウム,Ceセレン,Luルテチウム,Taタリウム,4,,診療画像検査学,第74回(2022),普通
[A2] 放射性壊変について正しいのはどれか。,α壊変では原子番号が変化しない。,β＋壊変では質量数が1つ減少する。,β−壊変では原子番号が変化しない。,軌道電子捕獲では質量数が変化しない。,核異性体転移では原子番号が1つ増加する。,4,,診療画像検査学,第74回(2022),普通
[A3] 放射性核種の分離で正しいのはどれか。,補集剤は担体の一種である。,同位体担体は化学的に分離できる。,保持担体は共沈させるために加える。,スカベンジャは目的核種を沈殿させる。,トレーサ量では担体を加える必要はない。,,※採点除外 ※採点除外問題,診療画像検査学,第74回(2022),普通
[A4] 標識化合物の生合成法で正しいのはどれか。,比放射能の制御が容易である。,標識位置の特定が容易である。,無機化合物の合成に用いられる。,微生物の代謝を利用した方法がある。,放射化学的純度の高い化合物が得られる。,4,,診療画像検査学,第74回(2022),普通
[A5] 焦点外X線で正しいのはどれか。2つ選べ。,陽極の全体から発生する。,画像のコントラストを低下させる。,線質は焦点近傍ほど光子のエネルギーが高い。,集束電極で集束されなかった電子のため生じる。,発生する量は回転陽極よりも固定陽極の方が多い。,"1,2",,診療画像検査学,第74回(2022),普通
[A6] X線源装置の総ろ過を増加させたときの変化で正しいのはどれか。,半価層は薄くなる。,X線量は少なくなる。,線質指標は低くなる。,実効エネルギーは低くなる。,被写体コントラストは高くなる。,2,,診療画像検査学,第74回(2022),普通
[A7] LCDで正しいのはどれか。,CRTと比べて消費電力が大きい。,大画面になると幾何学的歪みが発生する。,スクリーンセーバーは画面の反射防止に有用である。,医用画像モニタの表示階調にはGSDFが用いられる。,ランダムノイズの主な原因はピクセル間の輝度のばらつきである。,4,,診療画像検査学,第74回(2022),普通
[A8] CR装置で正しいのはどれか。,ダイナミックレンジはFPDよりも狭い。,輝尽励起光の波長は400 nm程度である。,乳房撮影用の画素サイズは100 μm程度である。,フェーディング現象は輝尽発光量に影響しない。,両面集光方式は片面集光方式よりも輝尽発光の集光効率が高い。,5,,診療画像検査学,第74回(2022),普通
[A9] 図に示す受像器から離れた位置にある点Tを受像器X軸中心より左右に各5cm移動させた焦点位置a、bで撮影したところ、画像A、B上の異なる位置に投影された。点Tの受像器面からの距離［cm］に最も近いのはどれか。ただし、受像器は固定、焦点は点焦点、焦点受像器間距離は100 cmとする。,7.2,9.1,11.8,13.7,16.7,2,,診療画像検査学,第74回(2022),普通
[A10] マルチスライスCTと比較した歯科用コーンビームCTの特徴で正しいのはどれか。,撮影時間が短い。,撮影領域が広い。,空間分解能が高い。,濃度分解能が高い。,画素濃度値の正確性が高い。,3,,診療画像検査学,第74回(2022),普通
[A11] デュアルエネルギーCTで正しいのはどれか。,サイクロトロンによる放射光を使用する。,高速スイッチング方式では、2つのX線管が実装されている。,エネルギーが低い仮想単色X線画像ではヨードのCT値が増加する。,通常のX線CTよりビームハードニングアーチファクトが増加する。,物質弁別において2つの基底物質は、実効原子番号が同一となる物質を選択する。,3,,核医学検査技術学,第74回(2022),普通
[A12] MRI装置の超伝導磁石で正しいのはどれか。,形状はオープン型である。,コイルの線材は銅である。,冷却に液体ヘリウムを用いる。,3Tを超える高磁場は得られない。,電流が流れている間は電力が消費される。,3,,核医学検査技術学,第74回(2022),普通
[A13] 医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律で規定されている医療機器の分類と装置の組合せで正しいのはどれか。,設置管理医療機器 — 移動型X線装置,特定保守管理医療機器 — X線CT装置,一般医療機器1クラスⅠ3 — X線撮影装置,管理医療機器1クラスⅡ3 — 放射線治療装置,高度管理医療機器1クラスⅢ、Ⅳ3 — 超音波診断装置,"1,2",,核医学検査技術学,第74回(2022),普通
[A14] 超音波画像診断装置のゲインを調整したときに変化するのはどれか。,送信される超音波の振幅,送信される超音波の周波数,送信される超音波のパルスレート,受信機から出力される電気信号の振幅,受信機から出力される電気信号の周波数,4,,核医学検査技術学,第74回(2022),普通
[A15] MRCP像を別に示す。主膵管はどれか。【別冊No.1 図】,ア,イ,ウ,エ,オ,4,,核医学検査技術学,第74回(2022),普通
[A16] 乳腺腫瘤の超音波像を別に示す。正しいのはどれか。2つ選べ。【別冊No.2 図】,C区域に位置する。,皮膚の牽引を認める。,後方エコーの増強を認める。,内部に点状高エコーを認める。,セクタ型プローブを使用している。,"2,4",,核医学検査技術学,第74回(2022),普通
[A17] 右側腹部の超音波像を別に示す。矢印で示すアーチファクトはどれか。【別冊No.3 図】,音響陰影,外側陰影,鏡面反射,多重反射,後方エコーの増強,2,,核医学検査技術学,第74回(2022),普通
[A18] 内部のエコーレベルが最も低い病変はどれか。,肝硬変,肝囊胞,肝血管腫,肝細胞癌,転移性肝癌,2,,核医学検査技術学,第74回(2022),普通
[A19] 脳のMRAでMTパルスの付加によって生じるのはどれか。2つ選べ。,騒音の増大,SARの増大,脂肪信号の抑制,脳実質の信号低下,磁場の時間変化率1dB/dt3の減少,"2,4",,核医学検査技術学,第74回(2022),普通
[A20] 脳のMRIで灌流情報が得られるのはどれか。2つ選べ。,ASL1arterial spin labeling3,DSC1dynamic susceptibility contrast3,DTI1diffusion tensor imaging3,MRS1magnetic resonance spectroscopy3,VBM1voxel-based morphometry3,"1,2",,核医学検査技術学,第74回(2022),普通
[A21] 腹部MR像を別に示す。矢印のアーチファクトを軽減するのはどれか。【別冊No.4 図】,TEの延長,TRの延長,呼吸同期法の併用,CHESSパルスの付加,スライス外への空間飽和パルスの付加,5,,放射線治療技術学,第74回(2022),普通
[A22] 脳のMR像を別に示す。中脳水道はどれか。【別冊No.5 図】,ア,イ,ウ,エ,オ,3,,放射線治療技術学,第74回(2022),普通
[A23] 胆囊の超音波像を別に示す。矢印で示すアーチファクトはどれか。【別冊No.6 図】,音響陰影,音響増強,鏡面効果,サイドローブ,コメット様エコー,4,,放射線治療技術学,第74回(2022),普通
[A24] MRIのSN比が高くなるのはどれか。,TRを短くする。,加算回数を増やす。,スライス厚を薄くする。,受信バンド幅を広くする。,位相エンコード数を増やす。,2,,放射線治療技術学,第74回(2022),普通
[A25] ポジトロン放射性薬剤の18Fで正しいのはどれか。,半減期は20分である。,ジェネレータで製造する。,159 keVのγ線を放出する。,18F−FDGはガス状で吸入させる。,サイクロトロンで製造する場合は18Oをターゲットとすることができる。,5,,放射線治療技術学,第74回(2022),普通
[A26] 放射能測定装置と検出器の組合せで正しいのはどれか。,ガンマプローブ — Arガス,ホールボディカウンタ — プラスチックシンチレータ,ウェル型電離箱測定装置 — NaI1Tl3,液体シンチレーションカウンタ — 半導体素子,ウェル型シンチレーションカウンタ — 輝尽性蛍光体,2,,放射線治療技術学,第74回(2022),普通
[A27] 核医学画像の画質改善を目的とした処理はどれか。,統計解析,動態解析,カラー表示,フュージョン処理,バックグラウンド処理,5,,放射線治療技術学,第74回(2022),普通
[A28] 診断標的部位への集積に主に受容体との結合が関与しているのはどれか。,99 mTc−MAA,99 mTc−MIBI,99 mTc−HMDP,123I−イオマゼニル,201TlCl,4,,放射線治療技術学,第74回(2022),普通
[A29] 放射性医薬品投与3時間後のシンチグラムを別に示す。投与部位はどれか。【別冊No.7 図】,経口,静脈内,動脈内,膀胱内,脳脊髄腔内,5,,放射線治療技術学,第74回(2022),普通
[A30] 肺血流シンチグラフィで正しいのはどれか。,99 mTc−ECDを用いる。,前面像のみの撮影で十分である。,肺癌の悪性度評価に用いられる。,検査前 — 時間程度の絶食が必要である。,右左シャントが疑われる場合は全身像を撮影する。,5,,放射線治療技術学,第74回(2022),普通
