設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 1 101 1 2 3 4 5 2 2 3 3 4 4 5 5（例2）の正解は「3」と「4」であるから答案用紙の 3と4をマークすればよい。答案用紙①の場合、答案用紙②の場合、102 1 2 3 4 5 102 102 1 1 102 1 2 3 4 5 2 2 3 3 4 4 5 5 ⑵ア．（例1）の質問には2つ以上解答した場合は誤りとする。イ．（例2）の質問には1つ又は3つ以上解答した場合は誤りとする。1核種群について正しいのはどれか。,同位体は中性子数が同一である。,同中性子体は陽子数が同一で中性子数が異なる。,放射性同位体は異なる元素の核種で質量数が同一である。,同重体は陽子数が同一で中性子数が異なり不安定で壊変する。,核異性体は原子番号と質量数が同一で、核のエネルギー準位が異なる。,5,,診療画像検査学,第67回(2015),普通
[A2] ヨウ素の同位体で誤っているのはどれか。,127Iは安定同位体である。,129IはPETに用いられる。,123IはSPECTに用いられる。,131Iは内照射療法に用いられる。,125Iはラジオイムノアッセイに用いられる。,2,,診療画像検査学,第67回(2015),普通
[A3] 140 Ba-140Laから140Laの無担体分離で誤っているのはどれか。,共沈剤としてFe3+を加える。,保持担体としてBa2+を加える。,140LaはFe（OH）3と共沈する。,スカベンジャとしてLa3+を加える。,溶媒抽出法でFe3+を分離する。,4,,診療画像検査学,第67回(2015),普通
[A4] 放射性核種の分離法で正しいのはどれか。,蒸留法は試料の揮発性の差を利用する。,電気泳動法はイオン化傾向の差を利用する。,イオン交換法は試料の吸着の差と分配の差を利用する。,ガスクロマトグラフィは試料の電荷の違いを利用する。,電気化学的分離法はイオン交換体の分布係数の違いを利用する。,1,,診療画像検査学,第67回(2015),普通
[A5] X線管装置で正しいのはどれか。,長時間許容負荷は焦点面の温度で制限される。,短時間許容負荷はX線管装置最大冷却率で定まる。,短時間許容負荷は管電圧リプル百分率に影響されない。,陽極回転数を3倍にすると短時間許容負荷は3倍になる。,同一の実効焦点ではターゲット角度が小さいほど短時間許容負荷は大きい。,5,,診療画像検査学,第67回(2015),普通
[A6] 共振形インバータ式X線装置の特性で正しいのはどれか。,単相電源では使用できない。,周波数可変形だけでなく固定形もある。,立下がり時間は撮影条件に影響されない。,インバータ周波数は2〜10 MHzが使用されている。,管電圧リプル百分率が大きいほどX線発生効率が良い。,2,,診療画像検査学,第67回(2015),普通
[A7] X線TV装置の構成で誤っているのはどれか。,FPD,CCDカメラ,光ファイバー,映像増幅回路,タンデムレンズ,3,,診療画像検査学,第67回(2015),普通
[A8] CRの原理で正しいのはどれか。2つ選べ。,フェーディング現象は画質に影響しない。,読み取りのレーザービーム径は画素サイズに影響しない。,輝尽性蛍光プレートの潜像を青紫色レーザーで読み取る。,集光ガイドを用いた光を光電子増倍管で電気信号に変換する。,読み取りを終えた輝尽性蛍光プレートに白色光を与えて情報を消去する。,"4,5",,診療画像検査学,第67回(2015),普通
[A9] X線装置とシステム構成の組合せで正しいのはどれか。2つ選べ。,DXA — I. I.,乳房用X線装置 — 圧迫筒,X線透視撮影装置 — ミラーカメラ,循環器用X線装置Ωアーム,パノラマX線装置CCDセンサ,"4,5",,診療画像検査学,第67回(2015),普通
[A10] X線CTで正しいのはどれか。2つ選べ。,前処理としてフィルタ補正逆投影法を用いる。,線量評価のためにキャリブレーション補正を行う。,ヘリカルスキャンの補間には線形補間法を用いる。,スリップリング方式では一体型X線発生装置が用いられる。,カッピングアーチファクトはビームハードニング効果によるものである。,"3,5",,診療画像検査学,第67回(2015),普通
[A11] X線CTでヘリカルピッチが大きい場合、正しいのはどれか。,撮影時間は延長する。,被ばく線量は増加する。,実効スライス厚は薄くなる。,体軸方向の空間分解能は向上する。,風車状アーチファクトは出現しやすくなる。,5,,核医学検査技術学,第67回(2015),普通
[A12] MRI装置で超伝導コイルの最も近くに存在するのはどれか。,シムコイル,高周波送信器,傾斜磁場コイル,冷凍機用圧縮機,クライオスタット,5,,核医学検査技術学,第67回(2015),普通
[A13] MRI装置について正しいのはどれか。2つ選べ。,RFパルスは横磁化を減少させる。,T1は磁場強度が強いほど大きくなる。,スライス位置は受信バンド幅で決まる。,RFコイルは大電流によって強磁場を作る。,スライス厚は傾斜磁場勾配を強くすると薄くなる。,"2,5",,核医学検査技術学,第67回(2015),普通
[A14] 無散瞳眼底カメラの構成に含まれないのはどれか。,対物レンズ,有孔ミラー,レーザー光源,ストロボランプ,リング状スリット,3,,核医学検査技術学,第67回(2015),普通
[A15] MRIで数値を大きくすると撮影時間が短くなるのはどれか。,TR,TE,エコートレイン数,位相エンコード数,周波数エンコード数,3,,核医学検査技術学,第67回(2015),普通
[A16] 腰椎MRIの矢状断像で呼吸性アーチファクトを軽減する方法として正しいのはどれか。,TEを長くする。,フリップ角を大きくする。,周波数エンコード方向を頭尾方向にする。,MT〈magnetization transfer〉パルスを付加する。,腰椎より腹側にサチュレーションパルスを付加する。,5,,核医学検査技術学,第67回(2015),普通
[A17] MRIのガドリニウム造影剤（Gd-DTPA）で正しいのはどれか。2つ選べ。,組織特異性である。,細胞内液に分布する。,造影後の撮影にはT1強調像を用いる。,副作用の発生率はヨード造影剤より高い。,高濃度では磁化率効果により信号が低下する。,"3,5",,核医学検査技術学,第67回(2015),普通
[A18] MRIのアーチファクトとその抑制方法の組合せで正しいのはどれか。2つ選べ。,体 — 動 — 収集時間の短縮,磁化率 — TEの短縮,折り返し — FOVの縮小,ケミカルシフト — 受信バンド幅の縮小,トランケーション — マトリクス数の減少,"1,2",,核医学検査技術学,第67回(2015),普通
[A19] 超音波検査で正しいのはどれか。,前立腺の検査は排尿後に行う。,Bモード法では連続波を用いる。,血流解析には造影剤を必要とする。,頸部用プローブの周波数は腹部用より高い。,心臓の検査にはリニア型プローブを使用する。,4,,核医学検査技術学,第67回(2015),普通
[A20] 無散瞳眼底写真撮影で正しいのはどれか。,両眼の眼底を撮影する。,撮影は縮瞳させた状態で行う。,撮影開始前に眼圧の測定を必要とする。,黄斑部と視神経乳頭とを重ねて撮影する。,撮影時はまばたきをするように指示する。,1,,核医学検査技術学,第67回(2015),普通
[A21] 頭部MR画像の4断面を別に示す。脳室はどれか。2つ選べ。【別冊No.1 図】,ア,イ,ウ,エ,オ,"1,4",,放射線治療技術学,第67回(2015),普通
[A22] 腹部MRIのT1強調像を別に示す。左副腎腫瘍について正しいのはどれか。【別冊No.2A 図】,出血が認められる。,脂肪が認められる。,嚢胞が認められる。,線維化が認められる。,石灰化が認められる。,2,,放射線治療技術学,第67回(2015),普通
[A23] 右腎の超音波像を別に示す。正しいのはどれか。【別冊No.3 図】,尿 — 瘤,水腎症,腎細胞癌,傍腎盂嚢胞,さんご状腎結石,2,,放射線治療技術学,第67回(2015),普通
[A24] 男性の下腹部超音波像を別に示す。矢印で示すのはどれか。【別冊No.4 図】,精 — 嚢,恥 — 骨,直 — 腸,膀 — 胱,前立腺,5,,放射線治療技術学,第67回(2015),普通
[A25] 小児の核医学検査で正しいのはどれか。,収集途中で覚醒し動くため1週後に再検査をする。,検査時間を短縮するため放射性医薬品の投与量を増量する。,心筋血流シンチグラフィに99mTc製剤でなく201TlClを使用する。,乳児の腎シンチグラフィの収集プロトコルを拡大収集に変更する。,放射性医薬品を投与したが検査を中止したためオムツの回収は行わない。,4,,放射線治療技術学,第67回(2015),普通
[A26] インビボ診断用放射性医薬品として適切なのはどれか。,b-線を放出しない。,物理的半減期が短い。,全身に均一に分布する。,複数のc線エネルギーをもつ。,c線エネルギーが100 keV以下である。,1,,放射線治療技術学,第67回(2015),普通
[A27] 0.511 MeVの光子に対するシンチレータの特性で、BGOに比してLSOに特徴的なのはどれか。,線減弱係数が大きい。,相対発光量が小さい。,発光減衰時間が長い。,実効原子番号が小さい。,エネルギー分解能が良い。,"4,5",,放射線治療技術学,第67回(2015),普通
[A28] ウェル型シンチレーションカウンタについて正しいのはどれか。,b-線の測定に用いる。,測定時の幾何学的条件は無視できる。,マルチチャンネルアナライザを有する。,エネルギーウインドウの設定なしで測定できる。,キュリーメータの測定レンジより高い領域で測定可能である。,3,,放射線治療技術学,第67回(2015),普通
[A29] 甲状腺123I摂取率計測で正しいのはどれか。,放射性医薬品を経口投与する。,検査前に無機ヨードを服用させる。,Basedow〈バセドウ〉病では摂取率が低下する。,甲状腺のカウントを全身のカウントで除して算出する。,1回目の測定は放射性医薬品の投与後約10分で開始する。,1,,放射線治療技術学,第67回(2015),普通
[A30] レノグラム検査で行われる解析で正しいのはどれか。,腎臓からの排泄が速いほどT1/2は高値になる。,分腎機能の算出では両側腎のデータを用いる。,プラナー像の解析では両側の側面像を用いる。,アデノシン負荷を併用する解析は水腎症の診断に有用である。,アセタゾラミド負荷を併用する解析は腎血管性高血圧の診断に有用である。,2,,放射線治療技術学,第67回(2015),普通
