設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 生物的半減期をTb、物理的半減期をTpとすると有効半減期を表すのはどれか。1Tb＋Tp3,2,Tb2＋Tp2 1 1,— ＋Tb Tp TbTp,1Tb＋Tp3 1,1Tb＋Tp3,4,,診療画像検査学,第65回(2013),普通
[A2] 過渡平衡が成立する親核種の壊変定数1λ13と娘核種の壊変定数1λ23との関係はどれか。,λ1 ≪ λ2,λ1＜λ2,λ1＝λ2,λ1＞λ2,λ1 ≫ λ2,2,,診療画像検査学,第65回(2013),普通
[A3] γ線エネルギーが最も高いのはどれか。,18F,67Ga,99mTc,123I,201Tl,1,,診療画像検査学,第65回(2013),普通
[A4] 原子炉生成核種はどれか。2つ選べ。,11C,15O,131I,137Cs,201Tl 99,"3,4",,診療画像検査学,第65回(2013),普通
[A5] Moの放射能が100 MBq、99m Tcの放射能がのとき、48時間後の99m Tcの放射能［MBq］に最も近いのはどれか。ただし、99Moの物理的半減期は66時間、99mTcは時間とし、99Moから99mTcへの分岐比は0.877とする。また、指数関数については、次の近似が成立するものとする。x2 e安x＝1安x＋2,100,80,60,40,20,3,,診療画像検査学,第65回(2013),普通
[A6] 目的とする放射性核種を溶液に残し、不要な放射性核種を沈殿させるのはどれか。,担体,共沈剤,補集剤,保持担体,スカベンジャ,5,,診療画像検査学,第65回(2013),普通
[A7] 放射化学的分離法で正しいのはどれか。2つ選べ。,溶媒抽出法はトレーサの分離には適さない。,電気化学的分離はイオン化傾向の差を利用する。,吸着法ではラジオコロイドの性質を利用しない。,沈殿法では目的核種と異なる元素を担体に用いる。,溶媒抽出法による分離はイオン交換分離より迅速である。,"2,5",,診療画像検査学,第65回(2013),普通
[A8] 標識化合物について正しいのはどれか。,標識率は放射性核種純度と同義である。,標識化合物の純度検定では化学的純度と放射化学的純度を調べる。,一度検定された標識化合物は安定なので放射化学的不純物を含むことはない。,放射性核種純度は指定の化学形で存在する放射性核種がその物質の全放射能に占める割合である。,放射化学的純度は化学形と無関係に着目する放射性核種の放射能がその物質の全放射能に占める割合である。,2,,診療画像検査学,第65回(2013),普通
[A9] 回転陽極X線管で短時間許容負荷を約2倍としたい。焦点軌道直径と陽極回転数の組合せで正しいのはどれか。焦点軌道直径1倍3陽極回転数1倍3,1.3 — 1,1.3 — 3,2.0 — 1,2.0 — 3,3.0 — 1,2,,診療画像検査学,第65回(2013),普通
[A10] 乳房撮影用X線管の特徴で正しいのはどれか。2つ選べ。,焦点サイズは0.5 mm以下である。,放射口にはカーボンが用いられる。,陰極安陽極間距離は20 mm程度である。,陽極材質としてモリブデンが用いられる。,高速回転形陽極では3倍回転のとき3000回転/分となる。,"1,4",,診療画像検査学,第65回(2013),普通
