設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 物理的半減期が最も長い核種はどれか。,67Ga,81mKr,99mTc,111In,123I,1,,診療画像検査学,第73回(2021),普通
[A2] 壊変形式がβ−の核種はどれか。,11C,67Ga,99Mo,201Tl,241Am,3,,診療画像検査学,第73回(2021),普通
[A3] PIXE法について正しいのはどれか。2つ選べ。,多元素同時分析は困難である。,対象となる試料にX線を照射する。,サイクロトロンなどの加速器を用いる。,原子核内の陽子との相互作用を利用している。,特性X線のエネルギースペクトルを解析する。,"3,5",,診療画像検査学,第73回(2021),普通
[A4] イメージングプレートを用いたオートラジオグラフィの解像度を向上させるのはどれか。,試料を厚くする。,露出時間を長くする。,飛程の長い核種を用いる。,試料とイメージングプレートを密着させる。,厚い蛍光体層のイメージングプレートを用いる。,4,,診療画像検査学,第73回(2021),普通
[A5] X線CTで円形の被写体の中心部が低CT値になるアーチファクトはどれか。,メタル,リング,カッピング,キャッピング,パーシャルボリューム,3,,診療画像検査学,第73回(2021),普通
[A6] X線管の管電流で正しいのはどれか。2つ選べ。,小焦点ほど空間電荷は多くなる。,空間電荷電流は管電圧の2乗に比例する。,空間電荷制限領域の管電流は陰極温度に関係しない。,エミッション特性とは管電圧とフィラメント電流の関係をいう。,空間電荷制限領域では管電圧が低いほど大きな電流を選択できる。,"1,3",,診療画像検査学,第73回(2021),普通
[A7] インバータ式X線装置のインバータ周波数を高くしたとき、誤っているのはどれか。,誘起起電力が高くなる。,高電圧変圧器が小型化できる。,高電圧変圧器の鉄損が小さくなる。,管電圧のリプル百分率が小さくなる。,電磁エネルギーが発生しやすくなる。,3,,診療画像検査学,第73回(2021),普通
[A8] CR装置について誤っているのはどれか。,階調処理により変換特性を任意に制御できる。,輝尽励起光のエネルギーは輝尽発光より大きい。,輝尽性蛍光プレートの有効発光時間は2〜3μsである。,輝尽性蛍光プレートの最頻発光波長は約400 nmである。,非鮮鋭マスク処理により必要な周波数帯域を強調できる。,2,,診療画像検査学,第73回(2021),普通
[A9] X線管焦点皮膚間距離を15 cm以上20 cm未満とすることができる撮影用X線装置はどれか。2つ選べ。,X線CT装置,移動形・携帯形X線装置,歯科用パノラマ断層撮影装置,乳房用X線装置1拡大撮影時3,定格70 kVを超える口内法撮影用X線装置,"1,3",,診療画像検査学,第73回(2021),普通
[A10] MRIの画質について正しいのはどれか。,信号収集時間は画質とは無関係である。,SN比はボクセル容積とは無関係である。,静磁場強度が高いほどSN比は高くなる。,静磁場の均一性は画質とは無関係である。,ハーフフーリエ法を用いるとSN比は高くなる。,3,,診療画像検査学,第73回(2021),普通
[A11] 超伝導磁石と冷却に用いられるヘリウムについて誤っているのはどれか。,液体のヘリウムは不燃性である。,気体のヘリウムは空気より軽い。,気体のヘリウムは無色透明である。,超伝導状態にある電磁石の電気抵抗は — である。,気体のヘリウムは微量でも吸引すると危険である。,5,,核医学検査技術学,第73回(2021),普通
[A12] JIS Z 4751-2-43に規定される透視用X線装置の基本性能について誤っているのはどれか。,通常透視の最大空気カーマ率は50 mGy/minであること。,危害を加える恐れのある部分の制御はデッドマン形制御とすること。,透視用積算タイマは透視中に一定時間が経過した場合に警告音を発すること。,高線量率透視制御を備える装置にあっては最大空気カーマ率が125 mGy/minに制限されること。,受像器を通過した空気カーマ率は受像器の接触可能表面から10 cmの距離で15 μGy/h以下であること。,5,,核医学検査技術学,第73回(2021),普通
[A13] JIS Z 4752の｢医用画像部門における品質維持の評価及び日常試験方法｣で定められている性能試験はどれか。2つ選べ。,受入試験,負荷試験,不変性試験,幾何学的試験,全体評価試験,"1,3",,核医学検査技術学,第73回(2021),普通
[A14] 1.5 TのMRI装置と比較して、3Tの装置でみられるのはどれか。ただし、静磁場強度以外の条件は同一とする。,T1値の延長,T2値の短縮,SARの減少,磁気回転比の増大,化学シフト［ppm］の増大,1,,核医学検査技術学,第73回(2021),普通
[A15] MRI検査室内に白い煙のようなものが認められた。発生原因として考えられるのはどれか。,液体ヘリウムが気化した。,装置の静磁場強度が上昇した。,検査室内の酸素濃度が上昇した。,床にこぼれた造影剤が気化した。,検査台がRFパルスによって発熱した。,1,,核医学検査技術学,第73回(2021),普通
[A16] 健常成人の上腹部MR像について正しいのはどれか。,T2強調像で総胆管は描出されない。,拡散強調像で副腎は肝実質よりも高信号である。,拡散強調像で肝実質は脾実質よりも高信号である。,T1強調像で腎臓の皮質は髄質よりも低信号である。,T2強調像で副腎の皮質は髄質よりも高信号である。,2,,核医学検査技術学,第73回(2021),普通
[A17] 健常成人の上腹部超音波像1Bモード3について正しいのはどれか。,副腎を描出することはできない。,脾静脈は膵臓の背側に描出される。,腎皮質と髄質を区別することはできない。,固有肝動脈は門脈本幹よりも太く描出される。,大動脈周囲のリンパ節を描出することはできない。,2,,核医学検査技術学,第73回(2021),普通
[A18] 造影超音波検査の適応とならないのはどれか。,乳癌,肝細胞癌,急性肝炎,肝内胆管癌,転移性肝癌,3,,核医学検査技術学,第73回(2021),普通
[A19] 拡散強調像を撮影する際にb値が増加するのはどれか。2つ選べ。,TRの短縮,フリップ角の増大,motion probing gradient間隔Δの短縮,motion probing gradient強度Gの増大,motion probing gradient印加時間δの延長,"4,5",,核医学検査技術学,第73回(2021),普通
[A20] 診療放射線技師が行う眼底写真の撮影で正しいのはどれか。2つ選べ。,観察光には赤色光を用いる。,撮影前に散瞳薬を投与する。,被検者を撮影前に暗室に誘導する。,撮影開始前に眼圧の測定を必要とする。,撮影が可能な瞳孔径であるか確認する。,"3,5",,核医学検査技術学,第73回(2021),普通
[A21] 頭部の造影T1強調像を別に示す。脳脊髄液を産生する組織はどれか。【別冊No.1 図】,ア,イ,ウ,エ,オ,3,,放射線治療技術学,第73回(2021),普通
[A22] 眼底写真を別に示す。矢印の解剖名称で正しいのはどれか。【別冊No.2 図】,黄斑,視神経乳頭,中心窩,網膜静脈,網膜動脈,4,,放射線治療技術学,第73回(2021),普通
[A23] 頭部静脈のMRA像を別に示す。矢印で示すのはどれか。【別冊No.3 図】,横静脈洞,直静脈洞,S状静脈洞,海綿状静脈洞,上矢状静脈洞,5,,放射線治療技術学,第73回(2021),普通
