設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] アルカリ土類金属元素はどれか。,18F,32P,67Ga,90Sr,131I,4,,診療画像検査学,第64回(2012),普通
[A2] 親核種1半減期T1、壊変定数λ1、原子数N 13と娘核種1半減期T2、壊変定数λ2、原子数N 23が過渡平衡にあるとき、娘核種の原子数N 2はどれか。λ1,— N λ2安λ1 1 λ2,— N λ2安λ1 1 λ2,— N λ1安λ2 1 T2,— N T2安T1 1 T1,— N T1安T2 1 90,1,,診療画像検査学,第64回(2012),普通
[A3] Srと137Csに共通するのはどれか。2つ選べ。,γ線放出体である。,放射性の娘核種をもつ。,アルカリ金属元素である。,骨に集まりやすい核種である。,235Uの熱中性子による核分裂で高収率に生成される。,"2,5",,診療画像検査学,第64回(2012),普通
[A4] 放射性核種の分離精製法で正しいのはどれか。,蒸留法ではコロイド的性質を利用する。,溶媒抽出法では溶媒に成分物質を抽出する。,イオン交換クロマトグラフィでは担体を用いる。,共沈法では遠心分離器を用いて放射性核種を沈殿させる。,電気泳動法では電荷を持った高分子の重量差を利用する。,2,,診療画像検査学,第64回(2012),普通
[A5] 放射化学分離法についての組合せで正しいのはどれか。,共沈法 — 溶解度積,電気泳動法 — 担体,溶媒抽出法 — アンモニア,昇華・蒸留法 — Rf値,薄層クロマトグラフィ — ガスキャリア,1,,診療画像検査学,第64回(2012),普通
[A6] 標識化合物と合成法の組合せで正しいのはどれか。2つ選べ。,3H標識化合物 — グルニヤール反応,14C標識化合物 — 生合成法,18F標識化合物 — 間接標識法,99 mTc標識化合物クロラミンT法,125I標識化合物 — ボルトンハンター法,"2,5",,診療画像検査学,第64回(2012),普通
[A7] 標識化合物の放射化学的純度検定に用いられるのはどれか。2つ選べ。,PIXE法,逆希釈法,電気泳動法,反跳合成法,電子線回折法,"2,3",,診療画像検査学,第64回(2012),普通
[A8] 半減期10分の核種を製造することとした。10分間照射した生成放射能に対する30分間照射した生成放射能の比はどれか。,1.25,1.50,1.75,2.25,3.00,3,,診療画像検査学,第64回(2012),普通
[A9] X線管で正しいのはどれか。,空間電荷電流は両極間電圧の2乗に比例する。,管電圧一定で管電流を増すと焦点寸法は大きくなる。,焦点外X線の発生は回転陽極管よりも固定陽極管で多い。,X線用可動絞りの下羽根は焦点外X線の低減に有効である。,ターゲット角度が小さいほど利用可能な放射角度は大きくなる。,2,,診療画像検査学,第64回(2012),普通
[A10] 短時間負荷が80 kV、400 mAのとき、X線管入力が30.4 kWであった。管電圧のリプル百分率で正しいのはどれか。,4 %,8 %,12 %,30 %,40 %,3,,診療画像検査学,第64回(2012),普通
