設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 元素記号Fの同族元素はどれか。,C,O,P,Cl,Ar,4,,診療画像検査学,第75回(2023),普通
[A2] 核反応について正しいのはどれか。,Q値が正の場合は吸熱反応である。,荷電粒子の加速に原子炉が使われる。,中性子の加速にサイクロトロンが使われる。,入射粒子が中性子のときクーロン障壁の影響を受ける。,反応を起こすために必要な最小エネルギーをしきい値と呼ぶ。,5,,診療画像検査学,第75回(2023),普通
[A3] 放射性核種の分離法について正しいのはどれか。,電気泳動法では加熱を行う。,ペーパークロマトグラフィではRf値を比較する。,薄層クロマトグラフィでは移動相でキャリアガスを用いる。,共沈法では不要な放射性核種を沈殿させるために捕集剤を用いる。,イオン交換クロマトグラフィでは分離のスピードを上げるためにポンプを用いる。,2,,診療画像検査学,第75回(2023),普通
[A4] 標識化合物の分解について正しいのはどれか。,分解速度はγ線で最も大きい。,細菌やカビによる分解を考慮する必要はない。,放射性壊変による分解を防止する方法はない。,放射線分解の起こりやすさは比放射能に関係しない。,ラジカルによる分解を防止するには有酸素状態が望ましい。,3,,診療画像検査学,第75回(2023),普通
[A5] X線照射野と光照射野のずれを図に示す。ずれがJIS規格の許容値を超えないのはどれか。ただし、X線は実線、光は破線、焦点から光照射野までの距離は110 cm、図中の単位はcmとする。,A,B,C,D,E,2,,診療画像検査学,第75回(2023),普通
[A6] 厚生労働省通知で保守点検計画を策定すべき装置に規定されていないのはどれか。,診療用粒子線照射装置,血管造影X線診断装置,X線CT装置（医用X線CT装置）,磁気共鳴画像診断装置（MRI装置）,診療用放射線照射装置（ガンマナイフ等）,2,,診療画像検査学,第75回(2023),普通
[A7] 超音波ドプラ法で正しいのはどれか。,リニア型プローブでは実施できない。,パワードプラ法では血流速度を知ることはできない。,パワードプラ法では造影剤の静注投与が必要である。,カラードプラ法では折り返しアーチファクトを生じない。,カラードプラ法では腫瘍内部の血流を表示することはできない。,2,,診療画像検査学,第75回(2023),普通
[A8] 管電圧100 kV、管電流800 mA、撮影時間0.1 s、管電圧リプル百分率12％のインバータ式X線装置の公称最大電力［kW］はどれか。,59.2,76.0,80.0,96.0,125.0,2,,診療画像検査学,第75回(2023),普通
[A9] DXA方式骨密度測定装置で正しいのはどれか。,横断像を用いて測定する。,骨密度の単位はcm2・g−1である。,検出器にはBaFX：Eu2＋が用いられる。,アルミニウム製の基準物質を同時に測定する必要がある。,被検者に二つの異なるエネルギーのX線を照射して測定を行う。,5,,診療画像検査学,第75回(2023),普通
[A10] 「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律」に規定される医療機器で正しいのはどれか。,再生医療等製品は医療機器に含まれる。,添付文書の記載事項は規定されていない。,「一般医療機器」「管理医療機器」「高度管理医療機器」に分類されている。,「特定保守管理医療機器」は特定の条件下で保守管理が免除されるものをいう。,疾病の診断・治療を目的としたプログラム（ソフトウェア）は医療機器に該当しない。,3,,診療画像検査学,第75回(2023),普通
