設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 放射性核種の記号と元素名の組合せで正しいのはどれか。2つ選べ。,90Sr ――――ストロンチウム,90Y ――――イットリウム,111In ――――イリジウム,222Rn ――――ラジウム,226Ra ―――ラドン,"1,2",,診療画像検査学,第66回(2014),普通
[A2] 物理的半減期の最も短い核種はどれか。,3H,90Sr,131I,133Xe,137Cs,4,,診療画像検査学,第66回(2014),普通
[A3] ミルキングによって得られる核種はどれか。,18F,81Rb,90Sr,99Mo,99mTc,5,,診療画像検査学,第66回(2014),普通
[A4] 放射化学分離について正しいのはどれか。2つ選べ。,放射能濃度は単位質量当たりの放射能を表す。,スカベンジャは目的の放射性核種を沈殿させる。,陽イオン交換樹脂は核分裂生成物の分離に用いる。,放射性核種の効果的分離のために加える非放射性物質を担体という。,溶媒抽出法の分配比は有機相を基準に水相に何倍多く抽出されるかを表す。,"3,4",,診療画像検査学,第66回(2014),普通
[A5] クロマトグラフィについて誤っているのはどれか。,ガスクロマトグラフィでは気体を移動相として用いる。,薄層クロマトグラフィではアルミナを固定相として用いる。,カラムクロマトグラフィでは固定相としてシリカゲルをカラムに充塡する。,ペーパークロマトグラフィではろ紙の繊維上に保持された水が移動相である。,溶質混合物を移動相によって固定相の中を移動させ相互に分離する方法である。,4,,診療画像検査学,第66回(2014),普通
[A6] 放射性標識化合物の放射化学的純度の検定に用いるのはどれか。,電気泳動法,昇華・蒸留法,電気化学的方法,ラジオコロイド法,Szilard-Chalmers〈ジラード・チャルマー〉法,1,,診療画像検査学,第66回(2014),普通
[A7] 関係ない組合せはどれか。,分配係数――――――――――――――溶媒抽出法,反跳効果―――――――――――――― Szilard-Chalmers〈ジラード・チャルマー〉法,14C標識化合物の合成――――――――- Grignard反応,放射化学的純度の検定――――――――薄層クロマトグラフィ,蛋白質の放射性ヨウ素の標識法―――― Wilzbach法,5,,診療画像検査学,第66回(2014),普通
[A8] 放射化分析で誤っているのはどれか。,核反応を利用する。,原子炉を利用する。,非破壊分析が可能である。,微量の元素分析に適している。,元素の化学的性質に依存する。,5,,診療画像検査学,第66回(2014),普通
[A9] X線管装置で正しいのはどれか。,短時間許容負荷は陽極全体の温度によって制限される。,負荷時間を2倍にすると短時間許容負荷は1/2になる。,ヒートユニットは6ピーク波形を基準とした特別の単位である。,連続的に負荷を加えられる限界値はX線管装置最大冷却率で定まる。,実効焦点が同一の場合、ターゲット角度が大きいほど短時間許容負荷は大きい。,4,,診療画像検査学,第66回(2014),普通
[A10] X線源装置で正しいのはどれか。,X線の空間強度は陰極側よりも陽極側で強い。,可動絞りの上羽根は焦点外X線の低減に有効である。,管電圧が低く管電流が大きいほど実効焦点寸法は小さい。,ターゲット角度が大きいほど利用可能な放射角度は大きい。,空間電荷制限領域では管電圧が低いほど大きな管電流を選択できる。,4,,診療画像検査学,第66回(2014),普通
[A11] 容量0.5μFのコンデンサ式X線装置において充電電圧90 kVで15 mAs放出したときの波尾切断電圧[kV]はどれか。,30,45,60,75,80,3,,核医学検査技術学,第66回(2014),普通
[A12] 非共振形(方形波)インバータ式X線装置の特徴で正しいのはどれか。,周波数を変化させて出力を調整する。,半導体素子はスイッチング損失が少ない。,インバータ駆動回路に対しフィードバック制御を行う。,インバータの位相シフト角を変化させると撮影時間が変化する。,同一の管電圧において管電流が増加すると管電圧リプル百分率は増加する。,5,,核医学検査技術学,第66回(2014),普通
[A13] I.I.について正しいのはどれか。2つ選べ。,視野の切り替えは電極電圧で行う。,入射面の蛍光体はCsIが用いられる。,空間分解能は中心と周辺で同じである。,出力面の輝度は視野が小さいほど高い。,出力側の蛍光体層が厚いほど空間分解能が高い。,"1,2",,核医学検査技術学,第66回(2014),普通
[A14] X線画像処理装置と構成要素の組合せで正しいのはどれか。,CR ――――――――――― CCDカメラ,DSA ―――――――――― log変換器,I.I. DR ―――――――――集光ガイド,直接変換方式FPD ―――― a-Si,間接変換方式FPD ―――― a-Se,2,,核医学検査技術学,第66回(2014),普通
[A15] DSAで誤っているのはどれか。,リアルタイムで画像観察ができる。,リカーシブフィルタはノイズを低減する。,腸内ガスの移動がアーチファクトになる。,アーチファクトの補正にリマスキングがある。,I.I.の入力視野が小さいほど被ばく線量は少ない。,5,,核医学検査技術学,第66回(2014),普通
[A16] 検出部と蛍光体の組合せで関係ないのはどれか。,X線CT ―――――――――― CaWO4,I.I.入力蛍光面―――――――― CsI:Na,直接変換方式FPD ―――――― CsI:Tl,グリーン発光増感紙――――― Gd2O2S:Tb,イメージングプレート―――― BaFBr:Eu2＋,"1,3",,核医学検査技術学,第66回(2014),普通
[A17] X線装置と構成部分の組合せで正しいのはどれか。,乳房用X線装置―――――――― Cuフィルタ,パノラマX線装置―――――――スリット,循環器用X線装置―――――――ミラーカメラ,一般X線撮影装置――――――― Cアーム,骨密度測定装置(DXA) ――――― CCD,2,,核医学検査技術学,第66回(2014),普通
[A18] 乳房用X線装置で正しいのはどれか。,放射窓にはBeが使用される。,焦点寸法は0.8 mm程度である。,圧迫筒を用いて圧迫撮影を行う。,付加フィルタとしてAlを用いる。,X線管のヒール効果は利用しない。,1,,核医学検査技術学,第66回(2014),普通
[A19] 可搬形X線撮影装置で誤っているのはどれか。,移動形と携帯形がある。,インバータ式が主流である。,FPDを搭載した装置がある。,電池エネルギー蓄積形が多い。,50 kW程度の出力の装置が多い。,5,,核医学検査技術学,第66回(2014),普通
[A20] X線CT装置のガントリ回転部に含まれないのはどれか。,X線管,X線検出器,コリメータ,ビームトリマ,レーザポインタ,5,,核医学検査技術学,第66回(2014),普通
[A21] マルチスライスCTにおけるコリメータの役割はどれか。2つ選べ。,X線利用効率を高める。,スライス厚を決定する。,不要な被ばくを低減する。,低エネルギーX線を吸収する。,X線ビームのプロファイルを制御する。,"3,5",,放射線治療技術学,第66回(2014),普通
[A22] マルチスライスCTのハードウエアで誤っているのはどれか。,スリップリング機構を採用している。,検出器ではX線を電気信号に変換する。,患者寝台は精密な移動速度が要求される。,撮影可能な最大径はガントリ開口径と等しい。,ガントリの円筒状フレームは遠心力に耐える能力がある。,4,,放射線治療技術学,第66回(2014),普通
[A23] 1.5T MRIと比べた3T MRIの特徴で正しいのはどれか。,SARが減少する。,T1緩和時間が短縮する。,磁化率アーチファクトが少ない。,化学シフトアーチファクトが少ない。,RF磁場(B1)不均一の影響を受けやすい。,5,,放射線治療技術学,第66回(2014),普通
[A24] MRIの信号強度に影響を与える組織固有の因子はどれか。,フリップ角,磁場均一性,静磁場強度,プロトン密度,繰り返し時間,4,,放射線治療技術学,第66回(2014),普通
[A25] SARの単位はどれか。,T/s,V/m,W/kg,A/mm2,ppm/cm,3,,放射線治療技術学,第66回(2014),普通
