設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] サイクロトロンを利用して製造される核種はどれか。2つ選べ。,90Sr,99Mo,111In,137Cs,201Tl,"3,5",,診療画像検査学,第69回(2017),普通
[A2] 放射性核種の分離法で正しいのはどれか。,溶媒抽出法では担体を利用する。,共沈法では分配比の違いを利用する。,イオン交換法では分布係数の違いを利用する。,ペーパークロマトグラフィでは反跳効果を利用する。,Szilard-Chalmers〈ジラード・チャルマー〉法ではRf値の違いを利用する。,3,,診療画像検査学,第69回(2017),普通
[A3] クロマトグラフィで正しいのはどれか。,ペーパークロマトグラフィはカラムを用いる。,イオン交換クロマトグラフィはカラムを用いる。,ガスクロマトグラフィは固定相にガスを用いる。,薄層クロマトグラフィは移動相にガスを用いる。,イオン交換クロマトグラフィは昇華性を利用する。3,2,,診療画像検査学,第69回(2017),普通
[A4] H標識化合物の合成法で正しいのはどれか。,クロラミンT法,ペーパーディスク法,ラクトパーオキシダーゼ法,Wilzbach〈ウイルツバッハ〉法,Bolton-Hunter〈ボルトン・ハンター〉法,4,,診療画像検査学,第69回(2017),普通
[A5] 管電流の大きさによって焦点寸法が変化する現象はどれか。,heel〈ヒール〉効果,Hall〈ホール〉効果,stem〈ステム〉効果,Peltier〈ペルチェ〉効果,blooming〈ブルーミング〉効果,5,,診療画像検査学,第69回(2017),普通
[A6] インバータ式X線装置の管電圧波形1別冊No. 1Ａ3を別に示す。同一の管電流時間積で管電流を大きくしたときの管電圧波形1別冊No. 1Ｂア〜オ3はどれか。ただし、すべての波形の縦軸・横軸の目盛は同じである。,ア,イ,ウ,エ,オ,4,,診療画像検査学,第69回(2017),普通
[A7] 自動露出制御装置の特性で正しいのはどれか。2つ選べ。,短時間特性は、撮影時間が短くなるほど光学濃度が低くなる。,長時間特性は、撮影時間が長くなるほど光学濃度が高くなる。,前面検出方式は、管電圧が低くなるほど光学濃度が低くなる。,後面検出方式は、管電圧が低くなるほど光学濃度が低くなる。,管電圧特性は管電圧によって光学濃度が変動する現象をいう。,"3,5",,診療画像検査学,第69回(2017),普通
[A8] 蛍光体Gd2O2S:Tbの特徴で正しいのはどれか。2つ選べ。,蛍光板として使用される。,輝尽性蛍光作用を利用して画像を取得する。,発光スペクトルの最大ピークの波長は425 nmである。,FPDでは蛍光体からの発光を受光素子で電荷に変換する。,増感紙として使用するときの適合フィルムはレギュラータイプである。,"1,4",,診療画像検査学,第69回(2017),普通
[A9] 1回転0.5秒の64列のマルチスライスCT装置を用いてコリメーション幅0.625 mm、テーブル移動速度 cm/sで撮影したとき、ビームピッチとして正しいのはどれか。,0.1,1,2,64,128,2,,診療画像検査学,第69回(2017),普通
[A10] CT値で誤っているのはどれか。,水のCT値はHUである。,"CT値は最大1,000 HUである。",灰白質のCT値は白質より高い。,甲状腺のCT値は筋肉より高い。,"空気のCT値は-1,000 HUである。",2,,診療画像検査学,第69回(2017),普通
[A11] TのMRIにおける水素原子核の共鳴周波数PMHzQに最も近いのはどれか。ただし、1.5 Tでの水素原子核の共鳴周波数を64 MHzとする。,43,64,128,256,299,5,,核医学検査技術学,第69回(2017),普通
[A12] 5インチRFコイルの写真を別に示す。撮影に適する部位はどれか。【別冊No.2 図】,脳,肝 — 臓,手 — 掌,脊 — 髄,大動脈,3,,核医学検査技術学,第69回(2017),普通
[A13] 超音波検査で正しいのはどれか。,深部臓器を観察するためには高い周波数を用いる。,骨盤部内臓器の観察は排尿後に行うのが望ましい。,セクタ式探触子では複数の振動子が円弧状に配列されている。,ダイナミックレンジを広くすると画像のコントラストが強くなる。,sensitivity time control〈STC〉は深さに応じてエコー信号を調整する。,5,,核医学検査技術学,第69回(2017),普通
[A14] 超音波像を別に示す。走査方式はどれか。【別冊No.3 図】,アーク走査,セクタ走査,リニア走査,ラジアル走査,コンベックス走査,5,,核医学検査技術学,第69回(2017),普通
[A15] MRIのSARで正しいのはどれか。,被写体が大きいほど低下する。,フリップ角が小さい方が増加する。,1.5 Tよりも3TのMRI装置の方が増加する。,同じスライス枚数のとき、TRが短いほど低下する。,スピンエコー法よりも高速スピンエコー法の方が低下する。,3,,核医学検査技術学,第69回(2017),普通
[A16] 頭部MR像を別に示す。正しい組合せはどれか。2つ選べ。【別冊No.4 図】,ア — STIR像,イ — FLAIR像,ウ — 脂肪抑制T1強調像,エ — T2＊強調像,オ — 造影T1強調像,"2,5",,核医学検査技術学,第69回(2017),普通
[A17] blood oxygenation level dependent〈BOLD〉法による脳のファンクショナルMRIで正しいのはどれか。2つ選べ。,脳組織の硬度を計測できる。,撮影データの統計学的解析が必要である。,磁化率効果を低減する撮影法が用いられる。,脳局所の水分子拡散を観察することができる。,脳局所のデオキシヘモグロビン濃度が信号強度に影響する。,"2,5",,核医学検査技術学,第69回(2017),普通
[A18] 頭部MR像を別に示す。点線で囲んだ部分に存在するアーチファクトへの対策で正しいのはどれか。【別冊No.5 図】,位相補正を行う。,加算回数を減らす。,FOVを大きくする。,位相エンコード数を増やす。,スライス間のギャップを広げる。,4,,核医学検査技術学,第69回(2017),普通
[A19] 超音波検査で正しいのはどれか。,Mモード法ではパルス波を用いる。,心臓の検査での基本体位は右側臥位である。,脂肪の多い人ほど深部臓器の描出が明瞭になる。,甲状腺の検査にはセクタ式プローブを使用する。,体表面にエコーゼリーを塗る目的は感染症の防止である。,1,,核医学検査技術学,第69回(2017),普通
[A20] 無散瞳眼底写真撮影で眼底の照明に用いられるのはどれか。,紫外線,青色光,黄色光,赤色光,赤外線,5,,核医学検査技術学,第69回(2017),普通
[A21] 右肩MRIの横断像1別冊No. 6Ａ3と点線のレベルの斜位矢状断像1別冊No. 6Ｂ3を別に示す。矢印で示すのはどれか。,肩峰,関節唇,烏口突起,棘上筋腱,上腕二頭筋,3,,放射線治療技術学,第69回(2017),普通
