設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] MRI装置の生データと画像信号で正しいのはどれか。,k-空間には生データの虚数成分だけが収められる。,空気の信号は0、水の信号は1000近傍に分布する。,生データをフーリエ変換した後の画像信号はk-空間に保管される。,画像信号はフーリエ変換後の虚数成分と実数成分の両方を用いて表される。,水は生体内で最も存在比が大きいため、画像の中で最も高い信号値となる。,4,,診療画像検査学,第78回(2026),普通
[A2] 1.5 T MRI装置で最小バンド幅426 Hz、スライス選択傾斜磁場が最大20 mT･m-1のときの最小スライス厚［mm］はどれか。,0.2,0.5,1.0,2.0,5.0,2,,診療画像検査学,第78回(2026),普通
[A3] 無散瞳眼底写真撮影装置で正しいのはどれか。,連続撮影ができない。,位置合わせ用照明には紫外光を用いる。,カメラ内部固視灯は焦点調整に使用する。,対物レンズは被検眼角膜に接することが望ましい。,有孔ミラーは光源から眼底に照射される光と眼底から反射されてくる光を分ける役割を持つ。,5,,診療画像検査学,第78回(2026),普通
[A4] 1.5 T MRI装置による高速SE法での頭部MR像を別に示す。設定したTR［ms］、TE［ms］に近い組合せはどれか。TR TE。【別冊No.1 図】,600 — 15,"1,000 — 100","3,000 — 15","4,000 — 100","10,000 — 150",5,,診療画像検査学,第78回(2026),普通
[A5] 細胞外液性ガドリニウム造影剤で正しいのはどれか。,尿中に排泄される。,MRCPで必要とされる。,肝細胞に特異的に取り込まれる。,環状型は線状型より脳組織に沈着しやすい。,アナフィラキシーの頻度は非イオン性水溶性ヨード造影剤より高い。,1,,診療画像検査学,第78回(2026),普通
[A6] 腹部MR像を別に示す。画像の説明で正しいのはどれか。2つ選べ。【別冊No.2 図】,水抑制画像である。,腎動脈が観察できる。,上行結腸が観察できる。,造影後に撮影している。,膵尾部に低信号域が観察できる。,"4,5",,診療画像検査学,第78回(2026),普通
[A7] 胸部MRIのT1強調像を別に示す。前縦隔腫瘤が接するのはどれか。【別冊No.3 図】,右心房,左心室,上大静脈,肺動脈幹,上行大動脈,4,,診療画像検査学,第78回(2026),普通
[A8] 発症1〜6時間における脳梗塞病変部について、拡散強調像とT2強調像の信号強度の組合せで正しいのはどれか。拡散強調像T2強調像,高信号 — 低信号,高信号 — 等信号,低信号 — 高信号,低信号 — 低信号,低信号 — 等信号,2,,診療画像検査学,第78回(2026),普通
[A9] 右肋骨弓下縦走査の超音波像を別に示す。考えられるのはどれか。【別冊No.4 図】,胆石,脾腫,腹水,脂肪肝,水腎症,4,,診療画像検査学,第78回(2026),普通
[A10] 甲状腺結節の超音波像を別に示す。矢印で示すのはどれか。【別冊No.5 図】,ハロー,音響陰影,側方陰影,多重反射,サイドローブ,2,,診療画像検査学,第78回(2026),普通
[A11] 標識化合物の分解を防ぐ保存法で正しいのはどれか。2つ選べ。,常温で保存する。,窒素ガスを充塡する。,比放射能を高くする。,放射能濃度を高くする。,ラジカルスカベンジャを添加する。,"2,5",,核医学検査技術学,第78回(2026),普通
[A12] 生物学的半減期を b、物理的半減期を pとすると有効半減期を表すのはどれか。,b＋ — p,b− — p,1/ — b＋1/ — p,（ — b＋ — p）/2,b p/（ — b＋p）,5,,核医学検査技術学,第78回(2026),普通
[A13] TEW法で推定される散乱線成分を表す式はどれか。ただし、メインウインドウ幅を 1、低エネルギー側サブウインドウのカウントとウインドウ幅を low、 2、高エネルギー側サブウインドウとウインドウ幅をhigh、 3とする。1,（ — low＋ — high）× 2 1,（ — low＋ — high）× 2＋ — 3,( low 2＋high 3 ) × 2 1,( low 2＋high 3 ) × — 1,( 2 low＋ — 3 high ) × 2 1,3,,核医学検査技術学,第78回(2026),普通
[A14] LSOシンチレータの特徴で正しいのはどれか。,BGOに比べ相対発光量が大きい。,BGOに比べ発光減衰時間が長い。,NaI（Tl）に比べ密度が低い。,NaI（Tl）に比べ相対発光量が大きい。,NaI（Tl）に比べエネルギー分解能が高い。,1,,核医学検査技術学,第78回(2026),普通
[A15] 18 F-FDG PET/CTで得られたPET像を別に示す。矢印で示す欠損部の原因で最も考えられるのはどれか。【別冊No.6 図】,部分容積効果,体動による散乱補正エラー,呼吸位相の違いによる減弱補正エラー,体内の高吸収物質による減弱補正エラー,PETとCTの有効視野の違いによるトランケーションアーチファクト,2,,核医学検査技術学,第78回(2026),普通
[A16] PET装置の性能評価（NEMA NU 2-2018）とその関連項目の組合せで誤っているのはどれか。,画質 — NEMA IEC胴体ファントム,感度 — アルミニウム管22,空間分解能 — Na点線源,計数率特性 — 散乱ファントム18,散乱フラクション — F点線源,5,,核医学検査技術学,第78回(2026),普通
[A17] 放射性医薬品投与時に30秒以上かけてゆっくり静注する必要があるのはどれか。,99mTc−ECD,99mTc−MIBI,123I−MIBG,131I−アドステロール,201TlCl,4,,核医学検査技術学,第78回(2026),普通
[A18] Na123Iによる24時間後の甲状腺摂取率で正常範囲内はどれか。,0.5％,3％,30％,60％,80％,3,,核医学検査技術学,第78回(2026),普通
[A19] 副腎皮質シンチグラフィで正しいのはどれか。,投与翌日に撮影する。,123I−MIBGが用いられる。,褐色細胞腫の診断で用いられる。,デキサメタゾンによって正常副腎への集積が抑制される。,原発性アルドステロン症では片側のみに集積を認めることが多い。,4,,核医学検査技術学,第78回(2026),普通
[A20] 骨シンチグラフィで集積欠損像となるのはどれか。2つ選べ。,授乳期乳房,尿漏れ部位,ペースメーカ,硫酸バリウム,放射性医薬品の投与部位の漏れ,"3,4",,核医学検査技術学,第78回(2026),普通
[A21] 外部放射線治療で正しいのはどれか。,局所的な治療ができる。,高齢者には適応がない。,良性腫瘍は適応とならない。,臓器の機能や形態を温存できない。,手術療法と比較して腫瘍制御の確実性が高い。,1,,放射線治療技術学,第78回(2026),普通
[A22] 放射線治療効果で誤っているのはどれか。,温熱療法は放射線増感効果を示す。,加速過分割照射は増殖が遅い腫瘍に有効である。,シスプラチン（白金製剤）は放射線増感効果を示す。,放射線治療期間の延長は治療成績の悪化につながる。,定位放射線照射は通常分割照射に比べ高い局所効果が得られる。,2,,放射線治療技術学,第78回(2026),普通
