設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] ペーパークロマトグラフィに関係がないのはどれか。,Rf値,原点,カラム,スポット,展開溶媒,3,,診療画像検査学,第72回(2020),普通
[A2] 核種について誤っているのはどれか。,68Gaは安定同位体である。,14Cと14Nは同重体である。,123Iは放射性同位体である。,99mTcと99Tcは核異性体である。,133Iと135Csは同中性子体である。,1,,診療画像検査学,第72回(2020),普通
[A3] 壊変図について正しいのはどれか。,縦に質量数を表す。,横にエネルギー準位を表す。,γ壊変は右下方の矢印で表す。,β−壊変は左下方の矢印で表す。,分岐壊変を表すことができる。,5,,診療画像検査学,第72回(2020),普通
[A4] 溶媒抽出法で抽出率を求める式はどれか。ただし、分配比(＝有機相中の放射性核種の全濃度/水相中の放射性核種の全濃度)をD、有機相の体積をVo、水相の体積をVwとする。,D/(D＋Vo/Vw),D/(D＋Vw/Vo),D･(1/D＋Vo/Vw),D･(1/D＋Vw/Vo),D/(D＋1/(Vw･Vo)),2,,診療画像検査学,第72回(2020),普通
[A5] 変圧器の等価回路を図に示す。・・励磁アドミタンスY0を無視して二次側に換算したとき、二次側電圧V2を示す式はどれか。ただし、aは巻線比とする。・・,aV1＋a2r1＋r2＋j(a2x1＋x2)aI1・ — ・,aV1＋a2r1＋r2＋j(a2x1＋x2)a2I1・ — ・,aV1安a2r1＋r2＋j(a2x1＋x2)(I1/a)・ — ・,aV1安r1＋a2r2＋j(x1＋a2x2)(I1/a)・ — ・,aV1＋a2r1＋r2＋j(a2x1＋x2)(I1/a),3,,診療画像検査学,第72回(2020),普通
[A6] DRLs 2015で誤っているのはどれか。,口内法X線撮影は患者入射線量で評価する。,マンモグラフィは平均乳腺線量で評価する。,CTはCTDIvolとDLPで評価する。,一般撮影は入射表面線量で評価する。,IVRはアイソセンタの空気カーマ率で評価する。,5,,診療画像検査学,第72回(2020),普通
[A7] CRに用いられる輝尽性蛍光プレートで正しいのはどれか。,400 ℃でアニーリングする。,600 nm付近の蛍光を発する。,400 nm付近の青紫色で励起発光させる。,温度が高いほどフェーディングが大きい。,プレートに蓄積された放射線情報は繰り返し測定できる。,4,,診療画像検査学,第72回(2020),普通
[A8] 共振形インバータ式X線装置で正しいのはどれか。,並列共振形は大容量X線装置に適している。,大負荷になるほどインバータ周波数が高くなる。,スイッチング時の電力損失は非共振形より大きい。,直列共振形は負荷抵抗が大きいほど電流の変化が大きい。,並列共振形は負荷抵抗が小さいほど共振現象を利用しやすい。,2,,診療画像検査学,第72回(2020),普通
"[A9] 血流方向に対して60度で超音波を送信したところ、周波数が100 ppmずれて受信された。生体中の音速を1,500 m/sとしたとき、血流速度［cm/s］はどれか。",5,10,15,20,25,3,,診療画像検査学,第72回(2020),普通
[A10] MRI装置について正しいのはどれか。,RFパルスは横磁化を減少させる。,スライス位置は受信バンド幅で決まる。,RFコイルは大電流によって強磁場を作る。,T1緩和時間は静磁場強度が強いほど短縮する。,スライス厚は傾斜磁場勾配を強くすると薄く設定できる。,5,,診療画像検査学,第72回(2020),普通
[A11] 散乱線除去グリッドの幾何学的性能で正しいのはどれか。,平行グリッドの集束距離は2mである。,グリッド比が大きいほど散乱線除去効果は低下する。,平行方向による減弱は集束距離、グリッド密度、横方向のずれで表される。,グリッド密度は直線グリッドの中心部における1cm当たりのはくの数である。,乳房撮影用グリッドの使用限界距離は一次X線透過率が60％となる距離である。,4,,核医学検査技術学,第72回(2020),普通
[A12] 短時間負荷が100 kV、320 mAのとき、X線管入力が30.4 kWであった。管電圧のリプル百分率［％］に最も近いのはどれか。,4,8,12,30,40,3,,核医学検査技術学,第72回(2020),普通
[A13] X線高電圧装置について正しいのはどれか。2つ選べ。,定電圧形のX線の開閉はテトロード管で制御される。,非共振形インバータ式の管電圧制御はDC-DCコンバータで行われる。,三相全波整流方式1ピーク3の管電圧脈動率の理論値は3.4％である。,三相全波整流方式112ピーク3の高電圧変圧器の二次側はΔ - Δ結線である。,共振形インバータ式における管電圧のフィードバック制御は、一次側の管電圧を検出して行われる。,"1,2",,核医学検査技術学,第72回(2020),普通
[A14] I. I.について正しいのはどれか。,空間分解能は中心と周辺で同じである。,出力面の輝度は視野が小さいほど高い。,視野の切り替えは電極電圧を変化させて行う。,変換係数とは中心輝度と周辺輝度の比である。,ベーリンググレア指数はコントラスト比の2乗で表される。,3,,核医学検査技術学,第72回(2020),普通
[A15] FSE法によって撮影されたT2強調像について正しいのはどれか。2つ選べ。,骨皮質は高信号である。,脂肪髄は高信号である。,関節の靱帯は高信号である。,眼球の硝子体は高信号である。,脳の灰白質は白質よりも低信号である。,"2,4",,核医学検査技術学,第72回(2020),普通
[A16] 右頸動脈の超音波像を別に示す。この画像に認められるアーチファクトを低減するための方法として正しいのはどれか。2つ選べ。【別冊No.1 図】,送信周波数を下げる。,パルス繰り返し周波数を上げる。,方位分解能の高い探触子1プローブ3に交換する。,サイドローブの少ない探触子1プローブ3に交換する。,超音波ビームの方向と血流方向のなす角度を小さくする。,"1,2",,核医学検査技術学,第72回(2020),普通
[A17] 上腹部の超音波横断像を別に示す。誤っている組合せはどれか。【別冊No.2 図】,ア — 上腸間膜静脈,イ — 腹部大動脈,ウ — 脾静脈,エ — 膵体部,オ — 膵頭部,1,,核医学検査技術学,第72回(2020),普通
[A18] 頭部MRA像を別に示す。正しい組合せはどれか。【別冊No.3 図】,A — 内頸動脈,B — 脳底脳脈,C — 前大脳動脈,D — 中大脳動脈,E — 椎骨動脈,5,,核医学検査技術学,第72回(2020),普通
[A19] 無散瞳眼底写真を別に示す。中心窩はどれか。【別冊No.4 図】,A,B,C,D,E,5,,核医学検査技術学,第72回(2020),普通
[A20] 眼底撮影における診療放射線技師の業務で正しいのはどれか。,患者に散瞳薬を点眼する。,可視光によって眼底観察を行う。,蛍光眼底造影剤を静脈内投与する。,自然散瞳のため、患者を暗室に誘導する。,スクリーニングではパノラマ眼底写真を得る。,4,,核医学検査技術学,第72回(2020),普通
[A21] 超音波画像診断装置で正しいのはどれか。,超音波周波数が高いほど空間分解能は低い。,体内において超音波の伝播速度は一定である。,超音波周波数が高いほど超音波の減衰は大きい。,血流速度を測定するにはSnell〈スネル〉の法則が利用される。,音響インピーダンスは媒質の密度と伝播速度の和で表される。,3,,放射線治療技術学,第72回(2020),普通
[A22] 深さによる超音波の減衰を補正する目的で使用する調整項目として正しいのはどれか。,受信ゲイン,コントラスト,ブライトネス,フレームレート,STC〈sensitivity time control〉,5,,放射線治療技術学,第72回(2020),普通
[A23] 頸動脈超音波像を別に示す。正しいのはどれか。【別冊No.5 図】,頸動脈プラークがある。,Mモードで撮影されている。,超音波周波数は10 kHz程度である。,Doppler〈ドプラ〉法が併用されている。,セクタ形探触子1プローブ3が使用されている。,1,,放射線治療技術学,第72回(2020),普通
[A24] Gd-EOB-DTPAで正しいのはどれか。,経口投与する。,鉄を含有する。,尿中には排泄されない。,高齢者への投与は禁忌である。,肝細胞に特異的に取り込まれる。,5,,放射線治療技術学,第72回(2020),普通
[A25] SPECT装置で正しいのはどれか。,3検出器型は頭部専用装置である。,同時計数対応型はシンチレータにBGOを用いる。,2検出器型では回転半径は空間分解能に影響しない。,1検出器型で心筋SPECTは180度収集が可能である。,ステップ収集では検出器の回転中にデータサンプリングを行う。,4,,放射線治療技術学,第72回(2020),普通
[A26] 心臓核医学検査における心電図同期撮影法で正しいのはどれか。,R波とR波の間を128等分する。,左室駆出率を求めることができる。,リストモードで撮影する必要がある。,1フレームの画素数を多くすると収集時間を短縮できる。,使用するコリメータは感度よりも空間分解能を優先する。,2,,放射線治療技術学,第72回(2020),普通
[A27] 経口投与する放射性医薬品はどれか。,81mKr,99mTc-GSA,111In-DTPA,Na131I,131I-アドステロール,4,,放射線治療技術学,第72回(2020),普通
[A28] 放射性医薬品の集積機序でカテコラミンと関係するのはどれか。,123I-IMP,123I-MIBG,123I-BMIPP,123I-イオフルパン,123I-イオマゼニル,"2,4",,放射線治療技術学,第72回(2020),普通
[A29] 肺血流シンチグラフィで正しいのはどれか。,閉鎖循環式呼吸回路を用いる。,腎機能低下症例では禁忌である。,使用する放射性核種の半減期は時間である。,肺高血圧症の評価目的には腹臥位で放射性医薬品を投与する。,放射性医薬品の投与時は注射器内への血液の逆流があることを十分確認する。,3,,放射線治療技術学,第72回(2020),普通
[A30] 消化管出血シンチグラフィで正しいのはどれか。,99mTc-PMTを用いる。,SPECT撮影は必要ない。,間欠的な出血を検出できる。,成人では37 MBqを投与する。,負荷検査ではカプトプリルが用いられる。,3,,放射線治療技術学,第72回(2020),普通
[A31] センチネルリンパ節シンチグラフィで正しいのはどれか。,99mTc-フチン酸を用いる。,乳癌の悪性度評価に用いられる。,リンパ浮腫の診断に用いられる。,放射性医薬品を静脈内に投与する。,定量評価として肝臓との集積比を求める。67,1,,医用画像情報学,第72回(2020),普通
[A32] Gaシンチグラフィで誤っているのはどれか。,正常肝が描出される。,検査前日に下剤を内服する。,骨髄炎では異常集積を示す。,静脈注射後2〜3日で撮影する。,使用した放射性医薬品は主に尿中に排泄される。,5,,医用画像情報学,第72回(2020),普通
[A33] SPECT画像処理に関係する補正はどれか。,回転中心補正,エネルギー補正,感度均一性補正,画像直線性補正,コリメータ開口補正18,5,,医用画像情報学,第72回(2020),普通
[A34] F-FDG腫瘍PETで誤っているのはどれか。,撮影前に排尿する。,気管支喘息は禁忌である。,18F-FDG投与後は安静にする。,18F-FDG投与前に血糖値を測定する。,集積程度の半定量的な評価にSUVを用いる。,2,,医用画像情報学,第72回(2020),普通
[A35] 放射線治療に用いる器具を別に示す。この器具を用いて根治的放射線治療を行うのはどれか。【別冊No.6 図】,膵癌,乳癌,子宮頸癌,上咽頭癌,胃悪性リンパ腫,4,,医用画像情報学,第72回(2020),普通
[A36] X線を用いた全身照射の目的はどれか。,感染予防,2痛緩和,免疫抑制,二次がん予防,ホルモン分泌抑制,3,,診療画像検査学,第72回(2020),普通
[A37] 前立腺癌の根治的局所外部照射で生じうる晩期障害はどれか。,腎不全,精巣炎,下[浮腫,脊髄麻痺,直腸出血,5,,診療画像検査学,第72回(2020),普通
[A38] 粒子線治療の適応となるのはどれか。,胃癌,白血病,悪性黒色腫,甲状腺眼症,多発性骨髄腫,3,,診療画像検査学,第72回(2020),普通
[A39] 子宮頸癌の腔内照射で正しいのはどれか。2つ選べ。,照射は1回である。,A点線量を病巣線量の基準とする。,タンデムアプリケータを2本用いる。,根治的治療では外部照射と併用する。,B点線量は直腸線量の評価指標とする。,"2,4",,診療画像検査学,第72回(2020),普通
[A40] 放射線治療計画の線量分布図を別に示す。この照射方法はどれか。【別冊No.7 図】,接線照射,定位照射,振子照射,4門照射,直交2門照射,1,,基礎医学大要,第72回(2020),普通
[A41] 放射線治療機器のQAプログラムで誤っているのはどれか。,再現性良く実行できることが重要である。,定期的に行うQA測定等をまとめたものである。,各種ガイドライン等を参考に施設ごとに作成する。,治療機器のメーカーによる定期メンテナンスも含める。,コミッショニング時に設けた基準値と比べて大きな乖離がないか確認する。,4,,基礎医学大要,第72回(2020),普通
[A42] 高エネルギー光子線に対する固体ファントム使用で正しいのはどれか。,深さスケーリング係数の単位は［cm−1］である。,フルエンススケーリング係数の単位は［cm−2］である。,深さスケーリング係数は入射光子線のエネルギーに依存しない。,深さスケーリング係数を利用して水中と等価な深さに電離箱を設置する。,等価な深さの水中での指示値に変換するために、電離箱指示値をフルエンススケーリング係数で除する。,4,,基礎医学大要,第72回(2020),普通
[A43] 電子線を90％線量域に200 cGy照射する場合のMU値に最も近いのはどれか。ただし、深部量百分率85.1％、出力係数0.980、モニタ校正値0.990 cGy･MU−1とする。,195,218,258,264,269,,※採点除外 ※採点除外問題,基礎医学大要,第72回(2020),普通
[A44] 重粒子線治療の深さ方向の物理線量分布の変化の組合せで正しいのはどれか。入射直後のプラトー領域拡大ブラックピーク〈SOBP〉領域,— ほぼ一定 — ほぼ一定,— ほぼ一定 — 深くなるほど増加,— ほぼ一定 — 深くなるほど減少,— 深くなるほど増加 — ほぼ一定,— 深くなるほど減少 — ほぼ一定,3,,基礎医学大要,第72回(2020),普通
[A45] 図Aの論理回路に図Bの波形aとbをそれぞれ入力するとき、出力波形cとして正しいのはどれか。,ア,イ,ウ,エ,オ,3,,基礎医学大要,第72回(2020),普通
[A46] 輝尽性蛍光体検出器におけるデジタルX線画像のノイズについて、撮影線量に依存するのはどれか。2つ選べ。,光量子ノイズ,電気系ノイズ,量子化ノイズ,X線量子ノイズ,検出器の構造ノイズ,"1,4",,基礎医学大要,第72回(2020),普通
[A47] 図に示す余弦関数をFourier〈フーリエ〉変換した結果で正しいのはどれか。2つ選べ。,0［cycles/mm］の成分は0.0である。,1［cycle/mm］の実数部は1.0である。,1［cycle/mm］の虚数部は1.0である。,安1［cycle/mm］の実数部は1.0である。,安1［cycle/mm］の虚数部は安1.0である。,"2,4",,基礎医学大要,第72回(2020),普通
[A48] RAID〈Redundant Arrays of Inexpensive Disks〉について正しいのはどれか。,データアクセスの高速化を図るものである。,ランダムアクセス機能をもつ補助記憶装置である。,ハードディスクのデータを光磁気ディスクに記録する際のデータ転送方式である。,ディスクキャッシュの技術を利用して、ハードディスクの信頼性を向上させるものである。,複数のハードディスクを組合せて、仮想的に全体を1つのディスク装置として実現するものである。,5,,基礎医学大要,第72回(2020),普通
[A49] DICOMで定義されていないのはどれか。,コネクタソン,サービスクラス,SOP〈Service Object Pair〉,SCP〈Service Class Provider〉,コンフォーマンスステートメント,1,,基礎医学大要,第72回(2020),普通
[A50] 性ホルモンが腫瘍の増殖に関わるのはどれか。2つ選べ。,腟癌,陰茎癌,尿道癌,子宮体癌,前立腺癌,"4,5",,基礎医学大要,第72回(2020),普通
[A51] 永久塞栓物質はどれか。,金属コイル,自家凝血塊,油性造影剤,ゼラチンスポンジ,高濃度ヨード造影剤,1,,基礎医学大要,第72回(2020),普通
[A52] 副腎が産生するホルモンはどれか。,アンジオテンシン,インスリン,グルカゴン,ノルアドレナリン,レニン,4,,基礎医学大要,第72回(2020),普通
[A53] 診療放射線技師の業務として正しいのはどれか。,造影CTにおいて静脈路を確保した。,造影CTにおいて静脈路と造影剤注入装置を接続した。,造影CT開始前に静脈路が閉塞していたので生理食塩液を注入し開通させた。,下部消化管検査のため肛門カテーテルを15 cm挿入した。,画像誘導放射線治療のため肛門カテーテルを挿入し空気を注入した。,2,,基礎医学大要,第72回(2020),普通
[A54] 成人に対する一次救命処置について正しいのはどれか。,積極的に医薬品を用いる。,心臓マッサージは左鎖骨中線上で行う。,口内に異物があればできる範囲で除去する。,患者の状態が安定したのを確認したうえで応援を呼ぶ。,心臓マッサージは140〜180回/分を目安に圧迫を繰り返す。,3,,基礎医学大要,第72回(2020),普通
[A55] ショック時に見られる徴候として正しいのはどれか。2つ選べ。,過呼吸,意識消失,顔面紅潮,四肢熱感,脈拍触知不能,"2,5",,放射線生物学,第72回(2020),普通
[A56] 脳脊髄液が存在するのはどれか。,板間層,硬膜外腔,硬膜下腔,軟膜下腔,くも膜下腔,5,,放射線生物学,第72回(2020),普通
[A57] 手根骨を構成しないのはどれか。,基節骨,月状骨,三角骨,舟状骨,有鉤骨,1,,放射線生物学,第72回(2020),普通
[A58] 筋原線維を構成するのはどれか。2つ選べ。,アクチン,ケラチン,ミエリン,ミオシン,ハイドロキシアパタイト,"1,4",,放射線生物学,第72回(2020),普通
[A59] 肺真菌症の原因となるのはどれか。,結核菌,肺炎球菌,アスペルギルス,黄色ブドウ球菌,マイコプラズマ,3,,放射線生物学,第72回(2020),普通
[A60] 冠動脈の造影3D-CT像を別に示す。右冠動脈はどれか。【別冊No.8 図】,ア,イ,ウ,エ,オ,5,,放射線物理学,第72回(2020),普通
[A61] 子宮動脈が分枝するのはどれか。,上殿動脈,内陰部動脈,内腸骨動脈,膀胱動脈,卵巣動脈,3,,放射線物理学,第72回(2020),普通
[A62] Alzheimer〈アルツハイマー〉型認知症で萎縮するのはどれか。,海馬,黒質,下垂体,乳頭体,小脳虫部,1,,放射線物理学,第72回(2020),普通
[A63] 日和見感染症はどれか。,梅毒,アニサキス症,潰瘍性大腸炎,マイコプラズマ肺炎,ニューモシスチス肺炎,5,,放射線物理学,第72回(2020),普通
