設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] ホウ素中性子捕捉療法〈BNCT〉での治療時に用いられる核反応はどれか。,（d，n）,（n，α）,（n，γ）,（n，p）,（p，d）,2,,診療画像検査学,第76回(2024),普通
[A2] 目的とする放射性核種の沈殿を防ぐために加えるのはどれか。,還元剤,共沈剤,捕集剤,保持担体,スカベンジャ,4,,診療画像検査学,第76回(2024),普通
[A3] クロマトグラフィでカラムを必要としないのはどれか。,ガスクロマトグラフィ,吸着クロマトグラフィ,薄層クロマトグラフィ,高速液体クロマトグラフィ,イオン交換クロマトグラフィ,3,,診療画像検査学,第76回(2024),普通
[A4] サイクロトロンによる荷電粒子線を用いる分析法はどれか。,PIXE法,直接希釈法,電気泳動法,不足当量法,アクチバブルトレーサ法,1,,診療画像検査学,第76回(2024),普通
[A5] 回転陽極X線管で陽極回転数を2.5倍、焦点軌道直径を1.2倍にしたとき0.1秒以下の短時間許容負荷の倍数で最も近いのはどれか。,1.4,1.7,2.0,2.4,3.0,2,,診療画像検査学,第76回(2024),普通
[A6] 回転陽極X線管を使用した骨撮影用X線装置の最大X線照射野と焦点外X線による半影を図に示す。JIS規格の許容値内で焦点外X線による半影が最大となるのはどれか。ただし、図中の単位はcm、実線を最大X線照射野、破線を焦点外X線による半影とする。,A,B,C,D,E,3,,診療画像検査学,第76回(2024),普通
[A7] JISで規定する直接撮影用X線装置の不変性試験で誤っているのはどれか。,誤動作が疑われるときに不変性試験を行う。,不変性試験の基礎値は受入試験時に設定する。,最初の不変性試験は受入試験の6か月後に行う。,不変性試験の結果は少なくとも2年間保存する。,試験対象になる性能パラメータに影響する保守を行った直後に不変性試験を行う。,"2,3",,診療画像検査学,第76回(2024),普通
[A8] JISで規定する透視用X線装置の基本性能で正しいのはどれか。,圧迫筒の圧迫の強さは20 Nを超えてはならない。,150 kgの負荷質量で正常に動作しなければならない。,通常透視の最大空気カーマ率は50 mGy･min−1である。,装置が3秒以上発する騒音は50 dBを超えてはいけない。,透視用積算タイマは透視時間が10分を超えた時点で警告音を発しなければならない。,3,,診療画像検査学,第76回(2024),普通
[A9] 散乱線除去用グリッドで正しいのはどれか。,グリッド露出係数は一次X線透過率の逆数で表される。,同一グリッドにおいては管電圧が高いほど選択度は大きい。,グリッド密度はグリッド中心部の1 mm当たりの鉛はくの数で表す。,同一グリッドにおいては管電圧が高いほどコントラスト改善比は大きい。,グリッド密度が同じであればグリッド比が大きいほどグリッド露出係数は大きい。,5,,診療画像検査学,第76回(2024),普通
[A10] X線エネルギー40 keVのときに比べ70 keVのときCT値が増加するのはどれか。,水,筋肉,脂肪,脳白質,脳灰白質,3,,診療画像検査学,第76回(2024),普通
[A11] 胸部CTの線量がDRLを超えていた。検査条件見直しで適切なのはどれか。,管電流を上げる。,撮影範囲を拡大する。,自動露出機構の目標SDを上げる。,空間分解能の高い再構成関数に変更する。,再構成法を逐次近似法からFBP法に変更する。,3,,核医学検査技術学,第76回(2024),普通
[A12] MRIで正しいのはどれか。,T2緩和時間はT2＊緩和時間より短い。,水のT1緩和時間は筋肉のT1緩和時間より長い。,筋肉のT1緩和時間は脂肪のT1緩和時間より短い。,ガドリニウム造影剤はT2緩和時間に影響を与えない。,静磁場強度が大きいほどLarmor〈ラーモア〉周波数は低くなる。,2,,核医学検査技術学,第76回(2024),普通
[A13] 超音波の性質で正しいのはどれか。,生体内を主に横波で伝播する。,波長が長いほど指向性が向上する。,伝播速度は媒質の密度に関係しない。,周波数が高いほど深部に到達しにくくなる。,検査で用いる周波数はおよそ100 kHzである。,4,,核医学検査技術学,第76回(2024),普通
