設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 元素記号と元素名の組合せで正しいのはどれか。,Ce — セシウム,La — ランタン,Pd — 鉛,Pu — プロメチウム,Ra — ラドン,2,,診療画像検査学,第71回(2019),普通
[A2] 天然放射性核種はどれか。,19F,31P,40K,59Co,99mTc,3,,診療画像検査学,第71回(2019),普通
[A3] 核反応における原子番号の変化と質量数の変化との組合せで正しいのはどれか。核反応原子番号の変化質量数の変化,1n，p3 — 安1,1γ，n3 — ＋1,1n，γ3 — 安1,1p，n3 — ＋1 — 安1,1d，n3 — ＋1,1,,診療画像検査学,第71回(2019),普通
[A4] クロマトグラフィで正しいのはどれか。,薄層クロマトグラフィはカラムを用いる。,ガスクロマトグラフィはカラムに固定相を充塡する。,ペーパークロマトグラフィは吸着剤にアルミナを用いる。,イオン交換クロマトグラフィは固定相にシリカゲルを用いる。,ペーパークロマトグラフィは薄層クロマトグラフィよりも展開が迅速である。,2,,診療画像検査学,第71回(2019),普通
[A5] X線源装置の総ろ過を増したときの変化で正しいのはどれか。2つ選べ。,半価層は薄くなる。,線質指標は低くなる。,X線量は少なくなる。,実効エネルギーは低くなる。,被写体コントラストは低くなる。,"3,5",,診療画像検査学,第71回(2019),普通
[A6] シングルヘリカルCTについて正しいのはどれか。,コーン角を考慮した再構成法が必要である。,オーバースキャニングによって被ばくが増加しやすい。,360度補間法は180度補間法よりも実効スライス厚を薄くできる。,ピッチ係数〈ピッチファクタ〉が大きいほどアーチファクトは出やすい。,エリアシングの影響は画像再構成間隔をスライス厚よりも大きくすることで抑制できる。,4,,診療画像検査学,第71回(2019),普通
[A7] 散乱線除去グリッドの物理的性能でイメージ改善係数を表す式はどれか。ただし、1次放射線透過率をTp、散乱放射線透過率をTs、全放射線透過率をTtとする。1,Tt Tp,Ts Tp,Tt Tp2,Tt Ts2,Tt,4,,診療画像検査学,第71回(2019),普通
[A8] 医用画像表示用モニタの品質管理で用いられるTG 18-QCパターンを図に示す。クロストーク要素はどれか。,ア,イ,ウ,エ,オ,1,,診療画像検査学,第71回(2019),普通
"[A9] 三相12ピーク整流装置で、撮影管電圧100 kV、管電流1,000 mAのときの電力［kW］に最も近いのはどれか。",0.1,9.5,10,95,100,5,,診療画像検査学,第71回(2019),普通
[A10] インバータ式X線高電圧装置で誤っているのはどれか。,インバータ周波数が高いほど電力変換効率は低い。,電源インピーダンスが高いほど装置の定格出力は小さい。,高電圧ケーブルが長いほど管電圧のリプル百分率は小さい。,インバータ周波数が高いほど管電圧のリプル百分率は小さい。,インバータ周波数が高いほど高周波高電圧変圧器の損失は小さい。,5,,診療画像検査学,第71回(2019),普通
[A11] CTの線量指標として正しいのはどれか。2つ選べ。,CTDI,DLP,DRL,EI,ESD,"1,2",,核医学検査技術学,第71回(2019),普通
[A12] CRで正しいのはどれか。2つ選べ。,輝尽蛍光は電気信号に変換される。,フェーディング現象は画質に影響しない。,輝尽性蛍光プレートの潜像を青紫色レーザーで読み取る。,読み取りのレーザービーム径は画素サイズに影響しない。,読み取りを終えた輝尽性蛍光プレートに白色光を与えて情報を消去する。,"1,5",,核医学検査技術学,第71回(2019),普通
[A13] 歯科用パノラマ断層撮影装置について正しいのはどれか。,撮影時間は2秒程度である。,ヘリカル方式が使用されている。,撮影管電圧は120 kVの管電圧を使用する。,撮影可能範囲は最大5cm ×5cm程度である。,X線管焦点皮膚間距離は15 cm以上必要である。,5,,核医学検査技術学,第71回(2019),普通
[A14] 乳房用X線装置で正しいのはどれか。2つ選べ。,胸壁側に陰極が配置されている。,X線管焦点検出器間距離は50 cm以下である。,X線管の大焦点の大きさは0.1 mm以下である。,X線管の放射口にはベリリウムが用いられている。,モリブデンフィルタの厚さは0.5 mm以上である。,"1,4",,核医学検査技術学,第71回(2019),普通
[A15] MRIの高速SE法において撮影時間が短縮するのはどれか。,エコー時間の延長,視野サイズの拡大,繰り返し時間の延長,再収束パルス数の増加,位相エンコード数の増加,4,,核医学検査技術学,第71回(2019),普通
[A16] 脳のTOF〈time-of-flight〉MRAで脳実質の信号を抑制するのに併用されるのはどれか。,IR〈inversion recovery〉パルス,DE〈driven equilibrium〉パルス,MT〈magnetization transfer〉パルス,MPG〈motion probing gradient〉パルス,CHESS〈chemical shift selective〉パルス,3,,核医学検査技術学,第71回(2019),普通
[A17] MRIにおいてSARの増大に関係するのはどれか。,エコー時間,視野サイズ,スライス数,スライス選択傾斜磁場,位相エンコード傾斜磁場,3,,核医学検査技術学,第71回(2019),普通
[A18] 脳出血のMR像でT1強調像とT2強調像の両方で高信号となるのはどれか。,ヘモジデリン,オキシヘモグロビン,デオキシヘモグロビン,赤血球内メトヘモグロビン,赤血球外メトヘモグロビン,5,,核医学検査技術学,第71回(2019),普通
[A19] MRIのトランケーションアーチファクトで正しいのはどれか。,スライス間隔が狭い場合に発生しやすい。,収集マトリックスを大きくすると軽減する。,静磁場の局所不均一性による位相エラーで発生する。,同じボクセル内に水と脂肪が同量存在する場合に大きくなる。,撮影領域の範囲外にあるものが画像領域に入り込むことによって生じる。,2,,核医学検査技術学,第71回(2019),普通
[A20] 女性骨盤MRIのT2強調矢状断像を別に示す。正しい組合せはどれか。【別冊No.1 図】,ア — 第5腰椎,イ — 小腸,ウ — 肛門,エ — 子宮頸部,オ — 大陰唇,2,,核医学検査技術学,第71回(2019),普通
[A21] 心臓シネMRIの四腔像を別に示す。正しい組合せはどれか。【別冊No.2 図】,ア — 僧帽弁,イ — 側壁,ウ — 心尖部,エ — 右心耳,オ — 肺動脈弁,3,,放射線治療技術学,第71回(2019),普通
[A22] 脳MRIのT2強調像を別に示す。MR像Aに示された部位を撮影した画像はどれか。【別冊No.3 図】,ア,イ,ウ,エ,オ,3,,放射線治療技術学,第71回(2019),普通
[A23] 甲状腺左葉1＊印3の超音波横断像を別に示す。正しい組合せはどれか。【別冊No.4 図】,ア — 胸鎖乳突筋,イ — 椎体,ウ — 内頸静脈,エ — 内頸動脈,オ — 食道,1,,放射線治療技術学,第71回(2019),普通
[A24] 無散瞳眼底写真を別に示す。矢印で示すのはどれか。【別冊No.5 図】,黄斑,網膜,水晶体,中心窩,視神経乳頭,5,,放射線治療技術学,第71回(2019),普通
[A25] 診療放射線技師の行為として誤っているのはどれか。,看護師と一緒に患者の移乗を行った。,機器メーカーの保守点検に立ち会った。,検査受付にて患者に前処置に関する説明を行った。,医師の指示のもと、放射性医薬品の静脈投与を行った。,検査室の床に放射性医薬品をこぼしたので、汚染検査を行った。,4,,放射線治療技術学,第71回(2019),普通
[A26] 小児の18F-FDG PETで生理的集積がみられないのはどれか。,大脳,肺,胸腺,肝臓,腎臓,2,,放射線治療技術学,第71回(2019),普通
[A27] 成人の核医学検査で投与放射能量が最も多い検査はどれか。,99 mTc-HMDPを使った骨シンチグラフィ,123I-IMPを使った脳血流シンチグラフィ,201Tl-塩化タリウムを使った腫瘍シンチグラフィ,99 mTc-Snコロイドを使ったリンパ節シンチグラフィ,131I-アドステロールを使った副腎皮質シンチグラフィ,1,,放射線治療技術学,第71回(2019),普通
[A28] 放射性医薬品投与時に起こる事象で最も頻度が高いのはどれか。,嘔吐,発熱,拒絶反応,血管迷走神経反応,アナフィラキシーショック111,4,,放射線治療技術学,第71回(2019),普通
[A29] In-octreotideの撮影に最も適しているコリメータはどれか。,低エネルギー用高分解能型,低エネルギー用汎用型,中エネルギー用,高エネルギー用,超高エネルギー用,3,,放射線治療技術学,第71回(2019),普通
[A30] 核医学検査装置の検出器に用いられないのはどれか。,BGO,LYSO,NaI1Tl3,ZnS1Ag3,CdZnTe〈CZT〉,4,,放射線治療技術学,第71回(2019),普通
[A31] PETで正しいのはどれか。,平行多孔コリメータを使用する。,視野内の位置で空間分解能が異なる。,半導体検出器を用いる装置が主流である。,専用機は検出器を回転させながら撮影する。,ノーマライズスキャンは減弱補正に使用される。,2,,医用画像情報学,第71回(2019),普通
