設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] JIS規格診断用MR装置用ファントムの構成部品を図に示す。zに直交する面（xy面）の撮影で点検する項目はどれか。,均一性,空間分解能,スライス厚,幾何学的ひずみ,画像コントラスト,3,,診療画像検査学,第77回(2025),普通
[A2] MRIと関連事項の組合せで正しいのはどれか。,拡散強調像 — TOF法,脂肪抑制法 — b値,非造影灌流MRI — ASL〈arterial spin labeling〉,MR hydrography BOLD効果,functional MRI化学シフト,3,,診療画像検査学,第77回(2025),普通
[A3] 超音波検査用造影剤（ペルフルブタン）で正しいのはどれか。,主に呼気中に排泄される。,気泡径は10 nm程度である。,クッパー細胞には取り込まれない。,腎機能障害のある患者には禁忌である。,体重50 kgの患者には100 mL程度を静注する。,1,,診療画像検査学,第77回(2025),普通
[A4] 無散瞳眼底写真撮影で正しいのはどれか。,明室では撮影できない。,観察光には赤外線を用いる。,黄斑部と視神経乳頭を重ねて撮影する。,画角を大きくすると撮影範囲は狭くなる。,瞳孔径が5 mm以上なければ撮影できない。,2,,診療画像検査学,第77回(2025),普通
[A5] 乳房のMR像を別に示す。この画像で正しいのはどれか。【別冊No.1 図】,T1強調像である。,位相方向は前後方向である。,脂肪抑制法が併用されている。,右乳房腫瘤は骨格筋と比較し低信号である。,大動脈の内腔は高信号として描出されている。,3,,診療画像検査学,第77回(2025),普通
[A6] 膝関節MR像を別に示す。正しい組合せはどれか。【別冊No.2 図】,ア — 腓腹筋,イ — 外側広筋,ウ — 内側半月板,エ — 前十字靱帯,オ — 膝蓋靱帯,4,,診療画像検査学,第77回(2025),普通
[A7] 乳房超音波像を別に示す。乳腺組織はどれか。【別冊No.3 図】,ア,イ,ウ,エ,オ,3,,診療画像検査学,第77回(2025),普通
[A8] 急性期脳梗塞の頭部MRIのFLAIR像及び拡散強調像を別に示す。病変の部位はどれか。【別冊No.4A・B 図】,視床,中脳,被殻,小脳虫部,内包前脚,1,,診療画像検査学,第77回(2025),普通
[A9] MRCP像を別に示す。結石が存在するのはどれか。【別冊No.5 図】,主膵管,総肝管,総胆管,左肝管,右肝管,3,,診療画像検査学,第77回(2025),普通
[A10] 同一腫瘤の腹部超音波像とMR像を別に示す。矢印の腫瘤の画像所見から判別できる成分はどれか。【別冊No.6A・B 図】,ガス,血液,脂肪,鉄分,カルシウム,3,,診療画像検査学,第77回(2025),普通
