設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] EDTA-2K採血管で採取した血漿を用いた場合、測定値が血清より高くなるのはどれか。,ALP,Ca,CRP,Mg,TP,5,,臨床検査総論,第69回(2023),普通
[A2] パニック値として報告すべきなのはどれか。,K 7.0 mmol/L,Na 130 mmol/L,LD 300 U/L,血小板数 50万/μL,ヘモグロビン 15.0 g/dL,1,,臨床検査総論,第69回(2023),普通
[A3] クレアチニン（酵素法）の内部精度管理図（管理図）を示す。原因として最も考えられるのはどれか。,第1試薬と第2試薬を逆にして測定した。,管理試料を半分の溶解液量で溶解した。,標準物質の濃度を2倍にして測定した。,使用期限が切れた試薬で測定した。,未熟な技量のスタッフが測定した。,4,,臨床検査総論,第69回(2023),普通
[A4] 尿沈渣の無染色標本及びSternheimer染色標本を別に示す。この構造物はどれか。【別冊No.1A・B 図】,硝子円柱,顆粒円柱,脂肪円柱,上皮円柱,赤血球円柱,4,,臨床検査総論,第69回(2023),普通
[A5] 人獣共通感染症をきたすのはどれか。,蟯虫,ズビニ鉤虫,三日熱マラリア原虫,ガンビアトリパノソーマ,エキノコックス〈多包条虫〉,5,,臨床検査総論,第69回(2023),普通
[A6] 61歳の女性。有機農業従事者。腹痛で来院し、虫卵検査を行った。糞便の直接塗抹標本を別に示す。考えられるのはどれか。【別冊No.2 図】,回虫卵,鉤虫卵,条虫卵,鞭虫卵,横川吸虫卵,1,,臨床検査総論,第69回(2023),普通
[A7] コンパニオン検査の特徴について正しいのはどれか。2つ選べ。,薬局で個人購入できる。,疾患の重症度を評価できる。,分子標的薬の有効性を予測できる。,ベッドサイドで結果を評価できる。,医薬品の副作用リスクを評価できる。,"3,5",,臨床検査総論,第69回(2023),普通
[A8] 標準予防策に追加の感染予防策が必要な感染症はどれか。,梅毒,B型肝炎,C型肝炎,帯状疱疹,HIV感染症,4,,臨床検査総論,第69回(2023),普通
[A9] 培養検査で検出された細菌が起炎菌である可能性の最も高い検体はどれか。,便,喀痰,髄液,自然尿,鼻咽頭粘液,3,,臨床検査総論,第69回(2023),普通
[A10] 臥位に比べて座位で採血したときに高値となる血清成分はどれか。,尿酸,尿素窒素,アルブミン,ナトリウム,クレアチニン,3,,臨床検査総論,第69回(2023),普通
[A11] WPW症候群に合併しやすいのはどれか。,心室頻拍,心房細動,心房粗動,房室ブロック,発作性上室頻拍,5,,臨床検査医学総論,第69回(2023),普通
[A12] の病的変異が検出されるのはどれか。,Lynch症候群,家族性大腸腺腫症,Li-Fraumeni症候群,von Hippel-Lindau病,遺伝性乳がん卵巣がん症候群,5,,臨床検査医学総論,第69回(2023),普通
[A13] 汎血球減少症を呈するのはどれか。2つ選べ。,腎性貧血,鉄欠乏性貧血,巨赤芽球性貧血,再生不良性貧血,自己免疫性溶血性貧血,"3,4",,臨床検査医学総論,第69回(2023),普通
[A14] 末期慢性腎不全で認められるのはどれか。2つ選べ。,低リン血症,低カリウム血症,低カルシウム血症,低ナトリウム血症,低マグネシウム血症,"3,4",,臨床検査医学総論,第69回(2023),普通
[A15] メタボリックシンドロームの診断基準に含まれるのはどれか。2つ選べ。,総コレステロール220 mg/dL以上,トリグリセライド150 mg/dL以上,HDLコレステロール40 mg/dL未満,LDLコレステロール140 mg/dL以上,Non-HDLコレステロール170 mg/dL以上,"2,3",,臨床検査医学総論,第69回(2023),普通
[A16] シールドルームで行うことが望ましい検査はどれか。,聴力検査,筋電図検査,心音図検査,超音波検査,熱画像検査,2,,臨床生理学,第69回(2023),普通
[A17] 心電図波形を別に示す。試みるべき対処法として正しいのはどれか。【別冊No.3 図】,アースの接続を確認する。,患者に力を抜いてもらう。,電動ベッドの電源を抜く。,電極と誘導コードの接続を確認する。,記録の間、患者に呼吸を止めてもらう。,2,,臨床生理学,第69回(2023),普通
[A18] 動脈管開存症に特徴的な心雑音はどれか。,連続性雑音,収縮後期雑音,全収縮期雑音,拡張期逆流性雑音,収縮期駆出性雑音,1,,臨床生理学,第69回(2023),普通
[A19] フローボリューム曲線を別に示す。1秒量は1.08 Lであった。1秒率［％］に最も近いのはどれか。【別冊No.4 図】,30,35,40,45,50,2,,臨床生理学,第69回(2023),普通
[A20] 体プレチスモグラフによる機能的残気量の測定原理はどれか。,Boyle-Charlesの法則,Daltonの法則,Fickの法則,Henryの法則,Lambert-Beerの法則,1,,臨床生理学,第69回(2023),普通
[A21] 呼吸商を求めるのに必要なのはどれか。2つ選べ。,呼吸数,酸素摂取量,肺胞換気量,分時換気量,二酸化炭素排出量,"2,5",,臨床生理学,第69回(2023),普通
[A22] 運動単位を構成するのはどれか。2つ選べ。,Ⅰ a線維,骨格筋細胞,γ運動ニューロン,下位運動ニューロン,上位運動ニューロン,"2,4",,臨床生理学,第69回(2023),普通
[A23] 脳波の記録法で正しいのはどれか。,時定数は0.1秒が標準である。,T6は右側頭葉の後方に相当する。,脳死判定では測定感度は20 μV/mmで記録する。,てんかん発作が起きたときは直ちに記録を中止する。,サンプリング周波数200 Hzで高域は120 Hzまで正しく記録できる。,2,,臨床生理学,第69回(2023),普通
