設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 臨床検査技師が単独で行うことができるのはどれか。2つ選べ。,頭皮誘導による脳波検査,針電極による筋電図検査,散瞳薬を用いた眼底写真検査,冷水刺激による眼振電図検査,マウスピースを用いた呼吸機能検査,"1,5",,臨床検査総論,第63回(2017),普通
[午前2] 許容誤差限界（CV％）を求めるTonksの式を示す。（①）内の数値として正しいのはどれか。〔許容誤差限界（CV％）≒（基準範囲の幅×（①）÷基準範囲の中央値）×100〕,1/4,1/2,1,2,4,1,,臨床検査総論,第63回(2017),普通
[A3] 健常成人男性の1日平均原尿量0糸球体濾過量2に最も近い値［L］はどれか。,15,50,150,500,"1,500",3,,臨床検査総論,第63回(2017),普通
[A4] 尿沈渣に見られた結晶を別に示す。考えられるのはどれか。【別冊No.1 図】,高尿酸血症,閉塞性黄疸,ネフローゼ症候群,先天性シスチン尿症,先天性アデニンホスホリボシルトランスフェラーゼ欠損症,2,,臨床検査総論,第63回(2017),普通
[A5] 免疫学的便潜血検査で正しいのはどれか。,痔核で陽性とならない。,大腸ポリープで陽性とならない。,検査前の食事内容制限を必要とする。,連続2日検査をすると陽性率は上昇する。,大腸早期癌のスクリーニングとして90％の感度がある。,4,,臨床検査総論,第63回(2017),普通
[A6] 肝吸虫症の対策として正しいのはどれか。2つ選べ。,川魚の生食をやめる。,川で水浴びをしない。,トイレで排便を行う。,蚊帳に入って就寝する。,熱処理の不十分な豚肉を食べない。,"1,3",,臨床検査総論,第63回(2017),普通
[A7] 皮膚に付着していた虫体0体長2.5 mm2の写真を別に示す。この虫が引き起こすのはどれか。【別冊No.2 図】,疥癬,ペスト,発疹チフス,ツツガムシ病,重症熱性血小板減少症候群,5,,臨床検査総論,第63回(2017),普通
[A8] 糞便検査で虫卵が検出されるのはどれか。2つ選べ。,有棘顎口虫,日本住血吸虫,ビルハルツEBilharzM住血吸虫,バンクロフトEBancroftM糸状虫,ウエステルマンEWestermanM肺吸虫,"2,5",,臨床検査総論,第63回(2017),普通
[A9] 遺伝子の変異原と人体への影響の組合せで最も関連の深いのはどれか。,放射線 — 大腸癌,紫外線 — 甲状腺癌,活性酸素 — 乳癌,ベンゾピレン — 皮膚癌,ニトロソ化合物 — 肺癌,4,,臨床検査総論,第63回(2017),普通
[A10] 遺伝子検査法とその目的の組合せで誤っているのはどれか。,ノザンブロット法 — DNA断片の解析,FISH法 — 欠失解析,DNAマイクロアレイ法 — 網羅的遺伝子解析,シークエンス解析法 — 変異解析,マイクロサテライトDNA解析法 — キメリズム解析,1,,臨床検査総論,第63回(2017),普通
[A11] 患者が訴える症状として誤っているのはどれか。,関節痛,心雑音,発熱,浮腫,めまい,2,,臨床検査医学総論,第63回(2017),普通
[A12] 市中肺炎の原因菌でないのはどれか。,Aspergillus fumigatus,Chlamydophila pneumoniae,Haemophilus influenzae,Mycoplasma pneumoniae,Streptococcus pneumoniae,1,,臨床検査医学総論,第63回(2017),普通
[A13] Ⅲ型高脂血症として正しいのはどれか。,膵炎の原因になる。,アキレス腱黄色腫がみられる。,動脈硬化の原因とはならない。,トリグリセライドが増加する。,アポリポ蛋白C2の異常が原因である。,4,,臨床検査医学総論,第63回(2017),普通
[A14] ヘリコバクター・ピロリ感染症の検査の検体として誤っているのはどれか。,胃液,血清,呼気,尿,便,1,,臨床検査医学総論,第63回(2017),普通
[A15] 尿試験紙法の検査でビタミンC服用者の検体で偽陰性となるのはどれか。,ウロビリノゲン,ケトン体,蛋白,白血球反応,ブドウ糖,5,,臨床検査医学総論,第63回(2017),普通
[A16] 健常成人の心内圧で80 mmHgを超えるのはどれか。,右心房収縮期圧,右心室拡張期圧,左心房収縮期圧,左心室拡張期圧,左心室収縮期圧,5,,臨床生理学,第63回(2017),普通
[A17] 心電図でV1のR波が増高する心筋梗塞の部位はどれか。,前壁中隔,側壁,高位側壁,下壁,純後壁,5,,臨床生理学,第63回(2017),普通
[A18] Holter心電図を別に示す。正しいのはどれか。【別冊No.3 図】,洞房ブロック,第1度房室ブロック,Wenckebach型第2度房室ブロック,MobitzⅡ型第2度房室ブロック,第3度房室ブロック,3,,臨床生理学,第63回(2017),普通
