設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 医療機関での診断に至る手順で適切なのはどれか。,医療面接或身体診察或スクリーニング検査或特殊検査,医療面接或身体診察或特殊検査或スクリーニング検査,身体診察或スクリーニング検査或特殊検査或医療面接,スクリーニング検査或特殊検査或医療面接或身体診察,スクリーニング検査或身体診察或特殊検査或医療面接,1,,臨床検査総論,第64回(2018),普通
[A2] 対策とその作業の組合せで誤っているのはどれか。,感染対策 — 使用済注射針のリキャップの徹底,災害対策 — 診療支援体制の構築,接遇対策 — 患者との疑似場面を設定した体験学習,検査過誤防止対策 — 標準作業手順書の作成,医療事故防止対策 — インシデントレポートの作成,1,,臨床検査総論,第64回(2018),普通
[A3] 検体の採取と取扱いで正しいのはどれか。,採取した羊水は透明な容器に入れる。,尿細胞診検査には24時間蓄尿を使用する。,自然喀痰採取は採取前にうがい薬を使用する。,精液採取は3か月以内に少なくとも2回行う。,腰椎刺で最初に得られた髄液は細胞学的検査に使用しない。,4,,臨床検査総論,第64回(2018),普通
[A4] 偶発誤差の要因はどれか。2つ選べ。,分析装置の変更,試薬のロット変更,比色時の気泡混入,標準液の作製ミス,ピペットの操作ミス,"3,5",,臨床検査総論,第64回(2018),普通
[A5] 尿沈渣の無染色、強拡大標本を別に示す。この構造物が生成される疾患はどれか。【別冊No.1 図】,痛風,慢性尿路感染症,腫瘍崩壊症候群,副甲状腺機能亢進症,溶血性尿毒症症候群,2,,臨床検査総論,第64回(2018),普通
[A6] 糞便の性状と疾患の組合せで正しいのはどれか。,緑色便 — 総胆管結石,粘血便 — 細菌性赤痢,灰白色便 — アメーバ赤痢,米の研ぎ汁様便 — カンピロバクター腸炎,イチゴゼリー状粘血便 — コレラ,2,,臨床検査総論,第64回(2018),普通
[A7] 結核性胸膜炎に特異性の高い胸水中のマーカーはどれか。,LD,CEA,NSE,ヒアルロン酸,アデノシンデアミナーゼ〈ADA〉,5,,臨床検査総論,第64回(2018),普通
[A8] 2015年における世界のおよそのマラリアの患者数と死亡者数の組合せで正しいのはどれか。,"2億1,200万人 — 43万人","2億1,200万人 — 4万3,000人","2,120万人 — 43万人","2,120万人 — 4万3,000人","212万人 — 4万3,000人",1,,臨床検査総論,第64回(2018),普通
[A9] 蚊によって媒介される寄生虫症はどれか。2つ選べ。,三日熱マラリア,ブラジルリーシュマニア症,ガンビアトリパノソーマ症,バンクロフト〈Bancroft〉糸状虫症,クルーズ〈Cruz〉トリパノソーマ症,"1,4",,臨床検査総論,第64回(2018),普通
[A10] DNA抽出に用いられないのはどれか。,エタノール,フェノール,クロロホルム,イソプロパノール,メルカプトエタノール,5,,臨床検査総論,第64回(2018),普通
