設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 検査や投薬の種類・量に関わらず、病気の種類と入院日数に応じて医療費が決められる診療報酬計算の方式を指す用語はどれか。,APACHE〈acute physiology and chronic health evaluation〉,DPC〈diagnosis procedure combination〉,GCP〈good clinical practice〉,SOP〈standard operation procedure〉,TQC〈total quality control〉,2,,臨床検査総論,第67回(2021),普通
[A2] 尿試験紙法による検査でビタミンC内服の影響が小さいのはどれか。,糖,潜血,蛋白,亜硝酸塩,ビリルビン,3,,臨床検査総論,第67回(2021),普通
[A3] 尿沈渣中の白血球と上皮細胞との鑑別に用いるのはどれか。,Berlin blue染色,Prescott-Brodie染色,Samson染色,May-Giemsa染色,Sudan Ⅲ染色,2,,臨床検査総論,第67回(2021),普通
[A4] 糞便の特徴と疾患の組合せで正しいのはどれか。2つ選べ。,黒色便 — 下部消化管出血,灰白色便 — 閉塞性黄疸,白色下痢便 — アメーバ赤痢,米のとぎ汁様便 — コレラ,イチゴゼリー状粘血便 — 細菌性赤痢,"2,4",,臨床検査総論,第67回(2021),普通
[A5] 最もサイズが小さいのはどれか。,鉤虫卵,鞭虫卵,横川吸虫卵,日本住血吸虫卵,Westerman肺吸虫卵,3,,臨床検査総論,第67回(2021),普通
[A6] 成人男性がアフリカから帰国後に発熱した。末梢血厚層塗抹のGiemsa染色標本を別に示す。この感染症について正しいのはどれか。【別冊No.1 図】,自然治癒する。,治療薬はない。,ツェツェバエが媒介する。,感染初期に肝臓で増殖する。,細胞内寄生細菌感染症である。,4,,臨床検査総論,第67回(2021),普通
[A7] 採血中に患者の顔面が蒼白になり、気分不快を訴えた。この採血合併症について誤っているのはどれか。,徐脈になる。,高齢者に多い。,血圧が低下する。,緊張が誘因となる。,直ちに採血を中止する。,2,,臨床検査総論,第67回(2021),普通
[A8] 空気感染予防策を必要とするのはどれか。2つ選べ。,結核,水痘,風疹,百日咳,流行性耳下腺炎,"1,2",,臨床検査総論,第67回(2021),普通
[A9] ピンク色泡沫状で漿液性の喀痰が得られた。考えられる疾患はどれか。,肺癌,肺梗塞,肺水腫,気管支炎,気管支拡張症,3,,臨床検査総論,第67回(2021),普通
[A10] 黄色のバイオハザードマークが貼付されている容器に廃棄するのはどれか。,開封した注射針,血液が入った採血管,痰が入った採取容器,血液が付着したガーゼ,採血時に用いた酒精綿,1,,臨床検査総論,第67回(2021),普通
[A11] 一次救命処置に含まれないのはどれか。,意識確認,気道確保,人工呼吸,静脈路確保,AEDの使用,4,,臨床検査医学総論,第67回(2021),普通
[A12] ヒトパピローマウイルスによって引き起こされるのはどれか。,乳癌,卵巣癌,子宮筋腫,子宮頸癌,子宮体癌,4,,臨床検査医学総論,第67回(2021),普通
[A13] 間質性肺炎の血清マーカーはどれか。2つ選べ。,CYFRA,KL-6,ProGRP,SLX,SP-D,"2,5",,臨床検査医学総論,第67回(2021),普通
[A14] 心不全の重症度評価に用いられるのはどれか。,AST,BNP,CK,LD,トロポニン,2,,臨床検査医学総論,第67回(2021),普通
[A15] 慢性閉塞性肺疾患〈COPD〉で増加するのはどれか。,残気量,肺活量,1秒率,1秒量,肺拡散能,1,,臨床検査医学総論,第67回(2021),普通
[A16] 成人の心電図で異常値はどれか。,P波幅0.10秒,PR時間0.18秒,QRS幅0.20秒,QTc 0.40秒,電気軸 60度,3,,臨床生理学,第67回(2021),普通
[A17] 心電図を別に示す。正しいのはどれか。【別冊No.2 図】,右胸心,右軸偏位,側壁梗塞,胸部電極の付け間違い,四肢電極の付け間違い,5,,臨床生理学,第67回(2021),普通
[A18] トレッドミル負荷試験について正しいのはどれか。2つ選べ。,不安定狭心症は禁忌である。,目標心拍数は体重で決める。,誘導方法はCM5誘導を用いる。,運動誘発性不整脈の診断に用いられる。,Bruce法では1分ごとに負荷量を増大させる。,"1,4",,臨床生理学,第67回(2021),普通
[A19] 傍胸骨長軸のカラードプラ像を別に示す。この症例で聴取される可能性が最も高い心雑音はどれか。【別冊No.3 図】,機能性雑音,連続性雑音,拡張早期雑音,全収縮期雑音,駆出性収縮期雑音,3,,臨床生理学,第67回(2021),普通
[A20] ボイル・シャルルの法則の記載で正しいのはどれか。ただし、気体の体積、圧力、絶対温度をそれぞれV、P、Tとし、定数をRとする。,P・T/V ≒ R,P・V/T ≒ R,R・P/T ≒ V,R・V/P ≒ T,T・V/P ≒ R,2,,臨床生理学,第67回(2021),普通
[A21] 吸気および呼気ともに最大努力で得られたフローボリューム曲線を別に示す。考えられるのはどれか。【別冊No.4 図】,気管狭窄,間質性肺炎,気管支喘息,胸椎後側弯症,慢性閉塞性肺疾患,1,,臨床生理学,第67回(2021),普通
[A22] ガス希釈法による測定が必要な肺気量分画はどれか。2つ選べ。,全肺気量,1回換気量,最大吸気量,予備呼気量,機能的残気量,"1,5",,臨床生理学,第67回(2021),普通
[A23] 低水準の消毒が適切でないのはどれか。,ヘッドホン,心電図の電極,マウスピース,ノーズクリップ,体表アプローチエコープローブ,3,,臨床生理学,第67回(2021),普通
[A24] 超音波画像のアーチファクトで虚像が出現しないのはどれか。,音響陰影,多重反射,レンズ効果,サイドローブ,ミラーイメージ,1,,臨床生理学,第67回(2021),普通
[A25] 右季肋部縦走査による超音波像を別に示す。所見はどれか。【別冊No.5 図】,肝表面不整,カメレオンサイン,ブルズアイサイン,モザイクパターン,肝腎コントラストの増強,5,,臨床生理学,第67回(2021),普通
[A26] 感音性難聴を呈するのはどれか。2つ選べ。,耳垢塞栓,耳硬化症,中耳炎,突発性難聴,メニエール〈Ménière〉病,"4,5",,臨床生理学,第67回(2021),普通
[A27] 反回神経を分岐する脳神経はどれか。,Ⅷ,Ⅸ,Ⅹ,Ⅺ,Ⅻ,3,,臨床生理学,第67回(2021),普通
[A28] 中心前回にあるのはどれか。,運動領,感覚領,嗅覚領,視覚領,連合領,1,,臨床生理学,第67回(2021),普通
[A29] 血糖コントロールの指標について正しいのはどれか。,HbA1cは溶血性疾患で低値になる。,HbA1cは過去約2週間の平均血糖値を反映する。,グリコアルブミンは過去約2か月の平均血糖値を反映する。,"1,5-アンヒドログルシトール〈1,5-AG〉は腎性糖尿で高値になる。","1,5-アンヒドログルシトール〈1,5-AG〉は過去約3か月の平均血糖値を反映する。",1,,臨床化学,第67回(2021),普通
[A30] 乳酸について誤っているのはどれか。,肝硬変で減少する。,筋肉で産生される。,低酸素血症で増加する。,血中では陰イオンとして存在する。,乳酸アシドーシスではアニオンギャップが増加する。,1,,臨床化学,第67回(2021),普通
[A31] ケトン体はどれか。2つ選べ。,胆汁酸,アセトン,ピルビン酸,アラキドン酸,3-ヒドロキシ酪酸,"2,5",,臨床化学,第67回(2021),普通
[A32] ビタミン欠乏症と疾患の組合せで誤っているのはどれか。,ビタミンA — 夜盲症,ビタミンB1 — Wernicke脳症,ビタミンC — 壊血病,ビタミンD — くる病,ビタミンK — 脚気,5,,臨床化学,第67回(2021),普通
[A33] ヘキソキナーゼが作用する糖はどれか。2つ選べ。,リボース,リブロース,ガラクトース,キシルロース,フルクトース,"3,5",,臨床化学,第67回(2021),普通
[A34] 糖代謝について正しいのはどれか。2つ選べ。,ソマトスタチンはインスリン分泌を促進する。,インスリン抵抗性はインスリン分泌が低下した状態である。,C-ペプチドとインスリンは1：2の分子数比で放出される。,糖新生系はピルビン酸からグルコースを新生する代謝系である。,ジペプチジルペプチダーゼ4〈DPP-4〉はインクレチンを分解する。,"4,5",,臨床化学,第67回(2021),普通
[A35] 無機質と結合蛋白質の組合せで正しいのはどれか。,鉄 — トランスサイレチン,銅 — α2-マクログロブリン,亜鉛 — セルロプラスミン,カルシウム — フェリチン,マグネシウム — アルブミン,5,,臨床化学,第67回(2021),普通
[A36] 生体内で炎症時に減少する蛋白質成分はどれか。,α1-アンチトリプシン,α1-酸性糖蛋白,ハプトグロビン,トランスフェリン,フィブリノゲン,4,,臨床化学,第67回(2021),普通
[A37] ビリルビンの極大吸収波長enmfはどれか。,260,340,450,540,570,3,,臨床化学,第67回(2021),普通
[A38] 細胞内液に含まれるイオンemEq/Lfで最も多いのはどれか。,Cl⁻,HCO3⁻,HPO42⁻,Mg2+,Na+,3,,臨床化学,第67回(2021),普通
[A39] リポ蛋白の表面部に存在しているのはどれか。2つ選べ。,レシチン,遊離脂肪酸,トリグリセライド,遊離型コレステロール,エステル型コレステロール,"1,4",,臨床化学,第67回(2021),普通
[A40] 中間比重リポ蛋白〈IDL〉の比重について正しいのはどれか。,HDL3とHDL2の中間,HDL2とLDLの中間,LDLとVLDLの中間,VLDLとCMの中間,CMとCMレムナントの中間,3,,臨床化学,第67回(2021),普通
[A41] 核酸を含まない細胞内小器官はどれか。,核小体,粗面小胞体,リボソーム,ミトコンドリア,ゴルジ〈Golgi〉装置,5,,臨床化学,第67回(2021),普通
[A42] 逸脱酵素でないのはどれか。,CK,LD,ALT,AST,ChE,5,,臨床化学,第67回(2021),普通
[A43] ビタミンDの25位を水酸化する臓器はどれか。,肺,肝臓,胸腺,腎臓,副甲状腺,2,,臨床化学,第67回(2021),普通
[A44] カルシウムイオン50 mg/dLは何mEq/Lか。ただし、カルシウム原子量は40とする。,0.25,1.25,2.50,12.5,25.0,5,,臨床化学,第67回(2021),普通
[A45] パラフィン切片の伸展について正しいのはどれか。,気泡の発生を防ぐ。,切片を乾燥させてから行う。,切片の傷を修復するために行う。,小さな切片では伸展の必要がない。,パラフィンの融点と同じ温度で行う。,1,,病理組織細胞学,第67回(2021),普通
[A46] 銀液を使用するのはどれか。2つ選べ。,PAS染色,Grimelius染色,Berlin blue染色,Masson-Fontana染色,methyl green-pyronin染色,"2,4",,病理組織細胞学,第67回(2021),普通
[A47] 肝臓の特殊染色標本を別に示す。染色はどれか。【別冊No.6 図】,azan染色,oil red O染色,Victoria blue染色,toluidine blue染色,Masson trichrome染色,1,,病理組織細胞学,第67回(2021),普通
[A48] 酵素抗体法について正しいのはどれか。,凍結切片では行わない。,ポリマー法は感度が高い。,加熱処理後は急速に冷却する。,一次抗体と二次抗体を混和する。,内因性ペルオキシダーゼの除去は発色後に行う。,2,,病理組織細胞学,第67回(2021),普通
[A49] H-E染色標本を別に示す。この臓器はどれか。【別冊No.7 図】,下垂体,唾液腺,甲状腺,膵臓,副腎,3,,病理組織細胞学,第67回(2021),普通
[A50] 圧迫萎縮を示すのはどれか。,閉経後の骨粗鬆症,成人における胸腺萎縮,長期臥床による骨格筋萎縮,水腎症における腎実質の菲薄化,末期癌における脂肪組織の萎縮,4,,病理組織細胞学,第67回(2021),普通
[A51] 肝硬変症の合併症として適切でないのはどれか。,黄疸,腹水,肝腫大,食道静脈瘤,女性化乳房,3,,病理組織細胞学,第67回(2021),普通
[A52] toluidine blue染色で異染色性を示すのはどれか。,アミロイド,コロイド,セロイド,ヘモジデリン,リポフスチン,1,,病理組織細胞学,第67回(2021),普通
[A53] 肉芽腫を形成するのはどれか。,アメーバ大腸炎,潰瘍性大腸炎,偽膜性腸炎,虚血性大腸炎,クローン〈Crohn〉病,5,,病理組織細胞学,第67回(2021),普通
