設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 臨床検査室において尿浸透圧の測定に用いられるのはどれか。,屈折計法,氷点降下法,ガラス電極法,陽イオン抽出法,メタクロマジー法,2,,臨床検査総論,第66回(2020),普通
[A2] 関節液中にピロリン酸カルシウムが認められるのはどれか。,痛風,偽痛風,化膿性関節炎,関節リウマチ,変形性関節症,2,,臨床検査総論,第66回(2020),普通
[A3] 尿沈渣の無染色標本を別に示す。認められる結晶はどれか。【別冊No.1 図】,尿酸結晶,シスチン結晶,ビリルビン結晶,リン酸カルシウム結晶,シュウ酸カルシウム結晶,2,,臨床検査総論,第66回(2020),普通
[A4] 臨床検査技師が放射性同位元素〈RI〉を取扱う際に遵守すべきなのはどれか。,ゴム手袋の二重装着,放射線防護服の着用,測定試薬の管理台帳作成,放射線業務従事者の免許取得,RI廃棄物のオートクレーブ処理,3,,臨床検査総論,第66回(2020),普通
[A5] 糞便に用いる検査法はどれか。2つ選べ。,Guthrie法,Sudan Ⅲ染色法,スルホサリチル酸法,ジアゾカップリング法,抗ヒトヘモグロビンイムノクロマト法,"2,5",,臨床検査総論,第66回(2020),普通
[A6] 夜間採血の新鮮血塗抹標本に検出された勢い良く動く虫体の写真を別に示す。この寄生虫の感染経路はどれか。【別冊No.2 図】,経口感染,経皮感染,経気管感染,経胎盤感染,性行為感染,2,,臨床検査総論,第66回(2020),普通
[A7] 静脈採血法について正しいのはどれか。2つ選べ。,採血前に患者自身に姓名を名乗ってもらう。,ホルダーは患者ごとに交換する。,採血部位は尺側皮静脈が第一選択となる。,抜針後は穿刺部を揉む。,針はホルダーから外して廃棄する。,"1,2",,臨床検査総論,第66回(2020),普通
[A8] 試験紙法で尿潜血が陽性、尿沈渣で赤血球が陰性となるのはどれか。2つ選べ。,IgA腎症,尿路結石,横紋筋融解症,ABO型不適合輸血,急速進行性糸球体腎炎,"3,4",,臨床検査総論,第66回(2020),普通
[A9] 結核性髄膜炎の髄液所見として正しいのはどれか。,糖の増加,蛋白の減少,単核球の増加,クロールの増加,アデノシンデアミナーゼ〈ADA〉活性の低下,3,,臨床検査総論,第66回(2020),普通
[A10] 内部精度管理法で患者データを用いるのはどれか。2つ選べ。,累積和法,X-R管理図法,項目間チェック法,デルタチェック法,マルチルール管理図法,"3,4",,臨床検査総論,第66回(2020),普通
[A11] 急性リンパ芽球性白血病にみられる染色体異常はどれか。,t08；142,t08；212,t09；222,t014；182,t015；172,3,,臨床検査医学総論,第66回(2020),普通
[A12] 動脈血液ガス分析で、pH 7.48、PaO2 98 Torr、PaCO2 30 Torr、HCO3⁻ 22 mmol/Lであった。考えられるのはどれか。,胃液吸引,急性膵炎,慢性肺気腫,過換気症候群,原発性アルドステロン症,4,,臨床検査医学総論,第66回(2020),普通
[A13] 1型糖尿病と関連のある自己抗体はどれか。,抗GAD抗体,抗SS-A抗体,抗平滑筋抗体,抗リン脂質抗体,抗サイログロブリン抗体,1,,臨床検査医学総論,第66回(2020),普通
[A14] 肝硬変について誤っているのはどれか。,肝右葉腫大が認められる。,血小板減少が認められる。,食道静脈瘤が認められる。,ICG試験で排泄が停滞する。,C型肝炎ウイルスによるものが多い。,1,,臨床検査医学総論,第66回(2020),普通
[A15] 推算糸球体濾過量〈eGFR〉の推算に必要な項目はどれか。2つ選べ。,身長,性別,体重,年齢,腹囲,"2,4",,臨床検査医学総論,第66回(2020),普通
[A16] 大動脈弁が閉じてから僧帽弁が開くまでの心時相はどれか。,急速流入期,駆出期,心房収縮期,等容弛緩期,等容収縮期,4,,臨床生理学,第66回(2020),普通
[A17] 連続波ドプラ法を用いるのはどれか。2つ選べ。,三尖弁逆流速度測定,僧帽弁輪運動速度測定,大動脈弁狭窄症の弁口部圧較差推定,左室流入血流速波形による左室拡張能評価,僧帽弁閉鎖不全症の逆流弁口吸い込み血流の検出,"1,3",,臨床生理学,第66回(2020),普通
[A18] 心尖部四腔像の収縮期カラードプラ像を別に示す。この症例で考えられる心雑音はどれか。【別冊No.3 図】,連続性雑音,拡張早期雑音,前収縮期雑音,全収縮期雑音,駆出性収縮期雑音,4,,臨床生理学,第66回(2020),普通
[A19] 心電図を別に示す。正しいのはどれか。【別冊No.4 図】,右室梗塞,下壁梗塞,後壁梗塞,高位側壁梗塞,広範前壁梗塞,5,,臨床生理学,第66回(2020),普通
[A20] スパイロメトリで測定できる肺気量分画はどれか。2つ選べ。,残気量,全肺気量,1回換気量,最大吸気量,機能的残気量,"3,4",,臨床生理学,第66回(2020),普通
[A21] 肺拡散能力の1回呼吸法による測定用吸入ガスに含まれないのはどれか。,CO,CO2,He,N2,O2,2,,臨床生理学,第66回(2020),普通
[A22] 静肺コンプライアンスが上昇するのはどれか。,肺気腫,高度肥満,肺線維症,気管支喘息,脊柱側弯症,1,,臨床生理学,第66回(2020),普通
[A23] 臨床検査技師が単独で行うことができないのはどれか。,基準嗅覚検査,気道抵抗測定,骨導聴力検査,電気味覚検査,気道過敏性試験,5,,臨床生理学,第66回(2020),普通
