設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 感染症の予防及び感染症の患者に対する医療に関する法律〈感染症法〉における四類感染症はどれか。2つ選べ。,マラリア,アメーバ赤痢,ジアルジア症,エキノコックス症,クリプトスポリジウム症,"1,4",,臨床検査総論,第65回(2019),普通
[A2] 統計的にブランク試料と区別しうる最低濃度を指すのはどれか。,管理限界,許容限界,検出限界,性能限界,定量限界,3,,臨床検査総論,第65回(2019),普通
[A3] 採取後室温で長時間放置された尿で上昇するのはどれか。,pH,ケトン体,ブドウ糖,ビリルビン,ウロビリノゲン,1,,臨床検査総論,第65回(2019),普通
[A4] 尿路系の出血部位を推定できる尿検査はどれか。,潜血反応,ジアゾ反応,塩化第二鉄反応,ミオグロビン測定,変形赤血球の観察,5,,臨床検査総論,第65回(2019),普通
[A5] ヒトを中間宿主とするのはどれか。,蟯虫症,マラリア,横川吸虫症,日本海裂頭条虫症,Manson裂頭条虫症,2,,臨床検査総論,第65回(2019),普通
[A6] 経皮感染をする寄生虫はどれか。2つ選べ。,回虫,糸状虫,糞線虫,住血吸虫,アニサキス,"2,3,4",採点上、選択肢2・3・4のうち2つを選べば正答（複数の組合せを正答とする）。,臨床検査総論,第65回(2019),普通
[A7] 46歳の男性。主訴は腹部不快感。現病歴として、外国旅行中に加熱不十分の牛ステーキを食べ、帰国してか月後、肛門周囲から条虫の肉厚の片節が個ずつ分離して排出され、糞便中で動いていた。虫体の写真を別に示す。診断として考えられるのはどれか。【別冊No.1 図】,多包条虫症,単包条虫症,無鉤条虫症,有鉤条虫症,日本海裂頭条虫症,3,,臨床検査総論,第65回(2019),普通
[A8] 検査法とその目的の組合せで誤っているのはどれか。,Schlesinger法 — 便中ウロビリン体定性試験,セロファンテープ法 — 鞭虫検査,便中ヘモグロビン定量 — 大腸がん検査,糞便塗抹Sudan Ⅲ染色 — 脂肪吸収不良検査,ホルマリン・エーテル法〈MGL法〉 — 寄生虫集卵検査,2,,臨床検査総論,第65回(2019),普通
[A9] プライマーとプローブの両方を用いるのはどれか。,FISH法,LAMP法,ノザンブロット法,Real-time PCR法,シークエンス解析〈ジデオキシ法〉,4,,臨床検査総論,第65回(2019),普通
[A10] 分染法と染色部位の組合せで誤っているのはどれか。,Cバンド分染法 — 動原体部を選択的に染め分ける。,Gバンド分染法 — 染色体末端部を選択的に染める。,NOR分染法 — 仁形成部分を選択的に染め分ける。,Qバンド分染法 — Y染色体の長腕末端部が強く染まる。,Rバンド分染法 — 不活化X染色体が染まる。,2,,臨床検査総論,第65回(2019),普通
[A11] ADH不適合分泌症候群〈SIADH〉について誤っているのはどれか。,脱水がみられる。,尿浸透圧が高い。,意識障害を生じる。,低ナトリウム血症がみられる。,病因として肺小細胞癌がある。,1,,臨床検査医学総論,第65回(2019),普通
[A12] 腎不全で起こる電解質異常はどれか。,高カルシウム血症,高ナトリウム血症,高リン血症,低カリウム血症,低マグネシウム血症,3,,臨床検査医学総論,第65回(2019),普通
[A13] 血球貪食症候群で高値を示すのはどれか。2つ選べ。,血小板数,白血球数,血清フェリチン,血漿フィブリノゲン,血清トリグリセライド,"3,5",,臨床検査医学総論,第65回(2019),普通
[A14] pH 7.32、PaCO2 27 Torr、HCO3⁻ 13 mmol/L、Na+ 138 mmol/L、K+ 4.5 mmol/L、Cl⁻ 102 mmol/Lであった。考えられるのはどれか。,心不全,間質性肺炎,尿細管性アシドーシス,原発性アルドステロン症,糖尿病性ケトアシドーシス,5,,臨床検査医学総論,第65回(2019),普通
[A15] 空腹時血清中の総コレステロール350 mg/dL、トリグリセライド105 mg/dL、HDL-コレステロール49 mg/dLのとき、Friedewaldの計算式から求めたLDL-コレステロール値［mg/dL］はどれか。,245,270,280,305,310,3,,臨床検査医学総論,第65回(2019),普通
[A16] 健常人の心内圧において、拡張期と収縮期の差が最も大きいのはどれか。,右房,右室,左房,左室,大動脈,4,,臨床生理学,第65回(2019),普通
[A17] 心電図を別に示す。正しいのはどれか。2つ選べ。【別冊No.2 図】,洞停止,心室頻拍,心房細動,洞不整脈,完全右脚ブロック,"3,5",,臨床生理学,第65回(2019),普通
[A18] 運動負荷心電図で正しいのはどれか。2つ選べ。,重症大動脈弁狭窄症は禁忌である。,Masterの階段試験での負荷量は年齢、性別および身長で決める。,トレッドミル負荷試験は心電図と経皮的酸素飽和度を記録する。,最大予測心拍数は300から年齢を引いた数である。,運動負荷の中止徴候として持続する10 mmHg以上の血圧低下がある。,"1,5",,臨床生理学,第65回(2019),普通
[A19] 呼吸不全を呈する筋萎縮性側索硬化症〈ALS〉の肺機能検査で予想される結果はどれか。2つ選べ。ただし、他の呼吸器疾患の合併はないものとする。,秒率低下,残気量減少,肺活量減少,機能的残気量減少,肺拡散能〈DLCO〉低下,"3,5",,臨床生理学,第65回(2019),普通
[A20] フローボリューム曲線を別に示す。測定項目と検査結果の組合せで誤っているのはどれか。・。【別冊No.3 図】,V25 — 3.0 L/秒,V50 — 0.9 L/秒,最大吸気量 — 2.8 L,努力肺活量 — 4.5 L,ピークフロー — 9.4 L/秒,1,,臨床生理学,第65回(2019),普通
[A21] 動脈血酸素含量〈CaO2〉の算出に必要なのはどれか。2つ選べ。,PaO2,SpO2,心拍出量,ヘモグロビン濃度,混合静脈血酸素分圧〈PvO2〉,"1,4",,臨床生理学,第65回(2019),普通
[A22] 呼吸性アシドーシスはどれか。,pH 7.47 PaCO2 30 Torr HCO3⁻ 23 mmol/L,pH 7.47 PaCO2 46 Torr HCO3⁻ 32 mmol/L,pH 7.40 PaCO2 40 Torr HCO3⁻ 24 mmol/L,pH 7.34 PaCO2 60 Torr HCO3⁻ 30 mmol/L,pH 7.30 PaCO2 30 Torr HCO3⁻ 16 mmol/L,4,,臨床生理学,第65回(2019),普通
[A23] 超音波画像にみられる音響陰影の説明として誤っているのはどれか。,強い減衰の後方にみられやすい。,強い反射の後方にみられやすい。,結石の後方にみられやすい。,囊胞の後方にみられやすい。,ガス0空気2の後方にみられやすい。,4,,臨床生理学,第65回(2019),普通
[午前24] 大動脈弁狭窄の超音波検査で弁口部の最高流速が4 m/sのとき、狭窄前後の圧較差［mmHg］に最も近いのはどれか。,4,8,16,48,64,5,,臨床生理学,第65回(2019),普通
[A25] 脳波検査において周期性同期性高振幅徐波結合を認めるのはどれか。,亜急性硬化性全脳炎,肝性脳症,欠神発作,脳動脈硬化症,もやもや病,1,,臨床生理学,第65回(2019),普通
[A26] 脳磁図検査〈MEG〉に不要なのはどれか。,MRI画像,シールドルーム,体性感覚刺激装置,超伝導量子干渉素子,ヘッドキャップ型電極,5,,臨床生理学,第65回(2019),普通
[A27] 聴性脳幹反応〈ABR〉において外側毛帯を起源とするのはどれか。,Ⅰ波,Ⅱ波,Ⅲ波,Ⅳ波,Ⅴ波,4,,臨床生理学,第65回(2019),普通
[A28] 末梢神経について正しいのはどれか。,室温が低下すると伝導速度は速くなる。,Aδ線維の伝導速度はAα線維より速い。,シナプスの興奮は一方向に伝達される。,無髄神経の伝導速度は有髄神経より速い。,神経筋接合部の伝達物質はドパミンである。,3,,臨床生理学,第65回(2019),普通
[A29] 飛行時間型質量分析〈TOF-MS〉法について誤っているのはどれか。,イオンは超高真空中を飛行する。,イオンの電荷は飛行時間に影響する。,イオンはレーザーの衝撃力により引き出される。,イオンの飛行速度はエネルギー保存の法則から算出される。,イオン化にはマトリックス支援レーザー脱離イオン化〈MALDI〉法が汎用される。,3,,臨床化学,第65回(2019),普通
[A30] ヘキソキナーゼ・グルコースリン酸脱水素酵素法を用いた血清グルコース測定における反応終結時の試薬対照における吸収スペクトルを別に示す。主波長340 nmと副波長400 nmによる二波長法で測定した場合、患者血清のグルコース濃度［mg/dL］はどれか。【別冊No.4 図】,120,160,200,240,280,2,,臨床化学,第65回(2019),普通
[A31] イオン選択電極法による測定で、血清Na 140 mmol/L、血清Cl 125 mmol/Lであった。考えられるのはどれか。,嘔吐,尿崩症,臭素中毒,Addison病,Cushing症候群,3,,臨床化学,第65回(2019),普通
[A32] 患者血清のLDアイソザイムパターンを別に示す。考えられるのはどれか。2つ選べ。【別冊No.5 図】,急性肝炎,心筋梗塞,溶血性貧血,横紋筋融解症,急性リンパ性白血病,"2,3",,臨床化学,第65回(2019),普通
[A33] 吸光度が0.903の透過率［％］はどれか。ただし、log 2≒0.301とする。,10.0,12.5,20.0,25.0,50.0,2,,臨床化学,第65回(2019),普通
[A34] 中性アミノ酸はどれか。,リジン,アルギニン,ヒスチジン,アスパラギン,グルタミン酸,4,,臨床化学,第65回(2019),普通
[A35] ビウレット法について正しいのはどれか。,尿蛋白の測定法である。,キレート呈色反応である。,呈色反応は強酸性下で行う。,測定試薬は無色透明である。,呈色はグリコシド結合の数に比例する。,2,,臨床化学,第65回(2019),普通
[A36] 日本臨床化学会〈JSCC〉勧告法の試薬中に酵素が含まれるのはどれか。2つ選べ。,LD,ALP,γ-GT,アミラーゼ,コリンエステラーゼ,"4,5",,臨床化学,第65回(2019),普通
[A37] 血清亜鉛が高値を示すのはどれか。,褥瘡,妊娠,低栄養,味覚障害,溶血性貧血,5,,臨床化学,第65回(2019),普通
[A38] HPLC法によるHbA1c測定値が低下する要因はどれか。,尿毒症,乳び血症,溶血性貧血,アスピリンの大量摂取,アスコルビン酸の大量摂取,3,,臨床化学,第65回(2019),普通
[A39] 血清クレアチニンが上昇するのはどれか。2つ選べ。,脱水,妊娠,尿崩症,うっ血性心不全,筋ジストロフィ,"1,4",,臨床化学,第65回(2019),普通
