設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[午前A1] 糖尿病の1型と2型の分類に有用な検査項目はどれか。2つ選べ。,血糖,HbA1c,インスリン,抗GAD抗体,グリコアルブミン,"3,4",,臨床検査総論,第72回(2026),普通
[午前A2] 検査項目で負の相関となる組合せはどれか。,AST・ALT,ChE・アルブミン,ナトリウム・クロール,クレアチニン・尿素窒素,トリグリセライド・HDL-コレステロール,5,,臨床検査総論,第72回(2026),普通
[午前A3] 尿沈渣の無染色標本及びSternheimer染色標本を別に示す。この構造物はどれか。【別冊No.1A・B 図】,硝子円柱,顆粒円柱,上皮円柱,赤血球円柱,ろう様円柱,5,,臨床検査総論,第72回(2026),普通
[午前A4] 原虫に用いられない染色法はどれか。,アクリジンオレンジ染色,抗酸染色,Giemsa染色,Gram染色,Kohn染色,4,,臨床検査総論,第72回(2026),普通
[午前A5] 蟯虫で誤っているのはどれか。,線虫類である。,腟炎の原因となる。,肛門周囲に産卵する。,世界各地に分布する。,オスはメスより大きい。,5,,臨床検査総論,第72回(2026),普通
[午前A6] 尿沈渣所見を別に示す。疑われる疾患はどれか。【別冊No.2 図】,シスチン尿症,ファブリー病,フェニルケトン尿症,α1-アンチトリプシン欠損症,アデニンホスホリボシルトランスフェラーゼ〈APRT〉欠損症,1,,臨床検査総論,第72回(2026),普通
[午前A7] 生化学検査にEDTA-2K採血管を使用した。異常低値を示すのはどれか。,鉄,リン,クロール,グルコース,ナトリウム,1,,臨床検査総論,第72回(2026),普通
[午前A8] 医療安全で正しいのはどれか。,コミュニケーションは医療事故防止対策となる。,インシデントレポートは原因となった個人を同定することが目的である。,臨床検査関連の業務では、検査後プロセスでのインシデントが一番多い。,ハインリッヒの法則によれば1件の重大事故の裏には約10件のヒヤリ・ハット事例がある。,医療現場の事故の大部分はノンテクニカルスキルよりテクニカルスキルの不足が原因で発生する。,1,,臨床検査総論,第72回(2026),普通
[午前A9] プリン塩基はどれか。2つ選べ。,チミン,アデニン,ウラシル,グアニン,シトシン,"2,4",,臨床検査総論,第72回(2026),普通
[午前A10] 関節液中にピロリン酸カルシウム結晶が認められるのはどれか。,痛風,偽痛風,化膿性関節炎,変形性関節症,関節リウマチ〈RA〉,2,,臨床検査総論,第72回(2026),普通
[午前A11] 肝硬変で低値を示すのはどれか。,アンモニア,総ビリルビン,ChE,γ-グロブリン,γ-GT,3,,臨床検査医学総論,第72回(2026),普通
[午前A12] 自己免疫疾患でないのはどれか。,関節リウマチ〈RA〉,原発性胆汁性胆管炎〈PBC〉,Basedow病,Duchenne型筋ジストロフィ,1型糖尿病,4,,臨床検査医学総論,第72回(2026),普通
[午前A13] 対象集団の有病率の影響を受けるのはどれか。,感度,特異度,偽陽性率,陽性尤度比,陽性適(的)中率,5,,臨床検査医学総論,第72回(2026),普通
[午前A14] 徐脈性不整脈に分類されるのはどれか。,心室細動,心房粗動,心室期外収縮,洞不全症候群,発作性上室頻拍,4,,臨床検査医学総論,第72回(2026),普通
[午前A15] 副甲状腺機能低下症で認められるのはどれか。,多尿,抑うつ,テタニー,尿路結石,病的骨折,3,,臨床検査医学総論,第72回(2026),普通
[午前A16] 僧帽弁輪運動速度のe'波で正しいのはどれか。,左室拡張末期にみられる。,心尖部四腔像で計測する。,連続波ドプラ法を使用する。,基線より上向きの波形である。,僧帽弁輪部の心尖部方向への運動を表す。,2,,臨床生理学,第72回(2026),普通
[午前A17] 右肋骨弓下走査の超音波像を別に示す。適正な画像調整で正しいのはどれか。【別冊No.3 図】,ゲインを高くする。,ゼロシフトを行う。,スラント走査を行う。,ダイナミックレンジを広くする。,STC〈sensitivity time control〉を調整する。,5,,臨床生理学,第72回(2026),普通
[午前A18] 超音波検査でカメレオンサインがみられるのはどれか。,肝囊胞,肝膿瘍,肝血管腫,肝細胞がん,転移性肝がん,3,,臨床生理学,第72回(2026),普通
[午前A19] 循環生理で正しいのはどれか。,肺動脈圧と大動脈圧は等しい。,三尖弁は左房と左室の間にある。,肺静脈から右房に血液が流入する。,心拍出量は左室1回拍出量と心拍数の積で決まる。,肺動脈には酸素飽和度の高い動脈血が流れている。,4,,臨床生理学,第72回(2026),普通
[午前A20] 針筋電図検査で随意収縮により記録されるのはどれか。,陽性鋭波,運動単位電位,線維自発電位,線維束自発電位,ミオトニー放電,2,,臨床生理学,第72回(2026),普通
[午前A21] 反復神経刺激検査の小指外転筋における記録波形を別に示す。この現象に関わるのはどれか。【別冊No.4 図】,Ca2+,Cl-,K+,Mg2+,Na+,1,,臨床生理学,第72回(2026),普通
[午前A22] 心電図所見で基準範囲内であるのはどれか。,P波幅 0.20秒,PR時間 0.26秒,QRS時間 0.16秒,補正QT時間〈QTc〉 0.42秒,R-R間隔 0.40秒,4,,臨床生理学,第72回(2026),普通
[午前A23] 換気で正しいのはどれか。2つ選べ。,換気は内呼吸である。,肺胞換気量とPaCO2は反比例する。,無意識下の換気は小脳で調節される。,末梢化学受容器は酸素の低下を検出する。,一回換気量と呼吸数の積で肺胞換気量になる。,"2,4",,臨床生理学,第72回(2026),普通
[午前A24] ノーズクリップが必要な検査はどれか。2つ選べ。,パルスオキシメータ,ピークフローメータ,一回呼吸法によるDLco測定,呼気一酸化窒素濃度〈FeNO〉測定,オシロメトリー〈強制オシレーション法〉による呼吸抵抗測定,"3,5",,臨床生理学,第72回(2026),普通
[午前A25] 脳波を別に示す。認められるのはどれか。2つ選べ。【別冊No.5 図】,α波,瞬目,紡錘波,徐波群発,高振幅速波,"1,2",,臨床生理学,第72回(2026),普通
[午前A26] 健常者の正中神経を手関節部で電気刺激したときに大脳皮質で最初に生じる反応はどれか。,N9,N13,N20,P31,P37,3,,臨床生理学,第72回(2026),普通
