設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] 臨床検査室の品質と能力に関する国際規格はどれか。,ISO 9001,ISO 13485,ISO 15189,ISO 17025,ISO 22870,3,,臨床検査総論,第68回(2022),普通
[A2] 分析前プロセスの品質管理はどれか。2つ選べ。,検体量の確認,精度管理試料の測定,精度管理成績の保存,分析装置導入前の性能評価,検体採取から測定開始までの時間の確認,"1,5",,臨床検査総論,第68回(2022),普通
[A3] 採血した全血検体をそのまま室温で一晩放置した。値の低下が予想されるのはどれか。,カリウム,無機リン,アンモニア,グルコース,クレアチニン,4,,臨床検査総論,第68回(2022),普通
[A4] 尿沈渣の無染色標本を別に示す。この構造物の成分はどれか。【別冊No.1 図】,尿酸,シスチン,ビリルビン,リン酸カルシウム,シュウ酸カルシウム,5,,臨床検査総論,第68回(2022),普通
[A5] Miller & Jones0喀痰の肉眼的品質評価2分類で、膿性部分が1/2の痰の分類はどれか。,M1,M2,P1,P2,P3,4,,臨床検査総論,第68回(2022),普通
[A6] 化膿性髄膜炎を疑う髄液所見として誤っているのはどれか。,混濁,LDの上昇,蛋白濃度の上昇,多形核球比率の上昇,髄液糖/血糖比の上昇,5,,臨床検査総論,第68回(2022),普通
[A7] 幼虫移行症をきたすのはどれか。,小形条虫,無鉤条虫,日本海裂頭条虫,マンソン裂頭条虫,クジラ複殖門条虫0大複殖門条虫2,4,,臨床検査総論,第68回(2022),普通
[A8] マラリア患者の血液塗抹標本のGiemsa染色に適するバッファーのpHはどれか。,6.2,6.8,7.4,8.0,8.6,3,,臨床検査総論,第68回(2022),普通
[A9] 慢性骨髄性白血病で高頻度にみられる染色体の構造異常はどれか。,逆位,欠失,挿入,重複,転座,5,,臨床検査総論,第68回(2022),普通
[A10] 遺伝性乳がん卵巣がん症候群（HBOC）の原因遺伝子はどれか。,APC,RB1,MEN1,MSH2,BRCA1/2,5,,臨床検査総論,第68回(2022),普通
[A11] 一次救命措置において、胸骨圧迫前に行うべきこととして誤っているのはどれか。,119番通報,安全の確認,意識の確認,呼吸の確認,対光反射の確認,5,,臨床検査医学総論,第68回(2022),普通
[A12] B型急性肝炎におけるHBs抗原、HBs抗体、HBe抗原、HBe抗体、HBc抗体の推移を別に示す。HBc抗体はどれか。【別冊No.2 図】,A,B,C,D,E,3,,臨床検査医学総論,第68回(2022),普通
[A13] 腎前性急性腎不全の原因になるのはどれか。,敗血症,尿管結石,前立腺肥大,急速進行性糸球体腎炎,全身性エリテマトーデス（SLE）,1,,臨床検査医学総論,第68回(2022),普通
[A14] サルコイドーシスの診断に最も有用なのはどれか。,アンギオテンシン変換酵素（ACE）,CRP,IL-6,KL-6,SP-D,1,,臨床検査医学総論,第68回(2022),普通
[A15] ビタミン欠乏症について正しいのはどれか。,ビタミンA欠乏で白内障になる。,ビタミンB12欠乏で巨赤芽球性貧血になる。,ビタミンC欠乏で溶血性貧血になる。,ビタミンD欠乏で尿管結石になる。,ビタミンE欠乏でWernicke脳症になる。,2,,臨床検査医学総論,第68回(2022),普通
[A16] 心電図を別に示す。正しいのはどれか。【別冊No.3 図】,下壁梗塞,側壁梗塞,前壁中隔梗塞,Brugada症候群,四肢電極の付け間違い,1,,臨床生理学,第68回(2022),普通
[A17] 肺活量 2.00 L、1回換気量0.50 L、予備呼気量0.80 L、最大吸気量1.20 L、機能的残気量 1.90 Lであった。残気量［L］はどれか。,0.70,1.10,1.40,2.40,3.10,2,,臨床生理学,第68回(2022),普通
[A18] クロージングボリューム測定における単一窒素呼出曲線を別に示す。クロージングボリュームはどれか。【別冊No.4 図】,①,②,③,④,⑤,3,,臨床生理学,第68回(2022),普通
[A19] 1回呼吸法による肺拡散能力測定で濃度を測定するのはどれか。2つ選べ。,CO,CO2,He,N2,O2,"1,3",,臨床生理学,第68回(2022),普通
[A20] 自律神経の線維はどれか。2つ選べ。,Aα線維,Aβ線維,Aδ線維,B線維,C線維,"4,5",,臨床生理学,第68回(2022),普通
[A21] 体性感覚の伝導路を含むのはどれか。,前根,錐体路,外側毛帯,外側膝状体,視床,5,,臨床生理学,第68回(2022),普通
[A22] 正中神経における運動神経伝導検査の模式的な記録波形を別に示す。軸索変性のパターンはどれか。なお、図中の破線は正常波形を示す。【別冊No.5 図】,①,②,③,④,⑤,2,,臨床生理学,第68回(2022),普通
