設問,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説,分野,年度,難易度
[A1] コンパニオン診断に用いられるのはどれか。,PSA,血小板凝集能,EGFR変異解析,75g経口グルコース負荷試験,T細胞サブセット〈CD4/CD8〉,3,,臨床検査総論,第71回(2025),普通
[A2] 混濁尿は透明化処理で鑑別が可能である。処理方法と対象となる混濁の原因の組合せで正しいのはどれか。,加温 — 細菌,3％酢酸 — リン酸塩,10％塩酸 — 尿酸塩,10％水酸化カリウム — 脂肪,アルコール・エーテル混合液（2：1）— シュウ酸塩,2,,臨床検査総論,第71回(2025),普通
[A3] DNA合成酵素はどれか。,リガーゼ,ヘリカーゼ,イソメラーゼ,ポリメラーゼ,エンドヌクレアーゼ,4,,臨床検査総論,第71回(2025),普通
[A4] 虫卵で小蓋がないのはどれか。,回虫,肝蛭,肝吸虫,日本住血吸虫,日本海裂頭条虫,"1,4",,臨床検査総論,第71回(2025),普通
[A5] Lambl〈ランブル〉鞭毛虫の主な寄生部位はどれか。,胃,肺,大腸,脳脊髄,十二指腸,5,,臨床検査総論,第71回(2025),普通
[A6] 腟トリコモナス症で誤っているのはどれか。,尿沈渣で虫体が検出される。,栄養型による接触感染である。,腟分泌物から囊子が検出される。,患者とパートナーを同時に治療する。,塗抹標本ではGiemsa染色が用いられる。,3,,臨床検査総論,第71回(2025),普通
[A7] 条虫で正しいのはどれか。,雌雄異体である。,消化管を有する。,神経細胞はない。,中間宿主内で増殖する。,頭部、頸部、片節の3部位からなる。,5,,臨床検査総論,第71回(2025),普通
[A8] パニック値対応となるのはどれか。,ALP 300 U/L,カルシウム 10.8 mg/dL,グルコース 200 mg/dL,ナトリウム 175 mmol/L,総コレステロール 300 mg/dL,4,,臨床検査総論,第71回(2025),普通
[A9] 尿沈渣に認められた結晶を別に示す。考えられるのはどれか。【別冊No.1 図】,高尿酸血症,閉塞性黄疸,ネフローゼ症候群,先天性シスチン尿症,先天性アデニンホスホリボシルトランスフェラーゼ欠損症,2,,臨床検査総論,第71回(2025),普通
[A10] 内部精度管理法で患者データを用いるのはどれか。2つ選べ。,-R管理図法,累積和管理図法,項目間チェック法,デルタチェック法,マルチルール管理図法,"3,4",,臨床検査総論,第71回(2025),普通
[A11] カットオフ値が用いられるのはどれか。,AST,CEA,LD,クレアチニン,ナトリウム,2,,臨床検査医学総論,第71回(2025),普通
